Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Real Madrid	4	1	1	13	:	6	7	13	3	0	0	8	:	3	9	1	1	1	5	:	3	4	N-S-U-S-S-S
2	Real Sociedad	4	1	1	12	:	9	3	13	2	1	0	6	:	3	7	2	0	1	6	:	6	6	S-S-N-U-S-S
3	Barcelona	3	3	0	11	:	4	7	12	1	2	0	5	:	2	5	2	1	0	6	:	2	7	S-S-U-U-U-S
4	FC Sevilla	4	0	2	14	:	8	6	12	2	0	1	7	:	4	6	2	0	1	7	:	4	6	S-S-N-S-S-N
5	Alaves	3	2	1	5	:	2	3	11	1	1	1	2	:	2	4	2	1	0	3	:	0	7	S-U-U-S-N-S
6	Espanyol	3	2	1	7	:	5	2	11	2	1	0	5	:	1	7	1	1	1	2	:	4	4	N-S-U-S-S-U
7	Villarreal	3	1	2	8	:	4	4	10	2	0	1	5	:	2	6	1	1	1	3	:	2	4	S-S-U-N-N-S
8	At. Bilbao	3	1	2	7	:	6	1	10	3	0	0	6	:	2	9	0	1	2	1	:	4	1	S-N-S-N-S-U
9	Malaga	2	3	1	11	:	12	-1	9	2	1	0	8	:	6	7	0	2	1	3	:	6	2	N-U-U-S-U-S
10	Eibar	2	2	2	6	:	6	0	8	2	1	0	4	:	1	7	0	1	2	2	:	5	1	U-U-N-S-S-N
11	Las Palmas	2	2	2	6	:	6	0	8	2	1	0	5	:	2	7	0	1	2	1	:	4	1	N-U-U-S-N-S
12	Deportivo	2	1	3	15	:	12	3	7	2	0	1	9	:	4	6	0	1	2	6	:	8	1	S-N-S-N-N-U
13	Celta Vigo	2	1	3	9	:	11	-2	7	2	0	1	5	:	5	6	0	1	2	4	:	6	1	N-N-U-S-N-S
14	Real Betis	2	1	3	7	:	9	-2	7	2	1	0	6	:	3	7	0	0	3	1	:	6	0	N-S-U-N-S-N
15	At. Madrid	2	1	3	4	:	8	-4	7	1	1	1	1	:	3	4	1	0	2	3	:	5	3	S-N-U-S-N-N
16	Granada	1	3	2	6	:	9	-3	6	1	1	1	3	:	4	4	0	2	1	3	:	5	2	N-U-S-N-U-U
17	Leganes	1	3	2	4	:	8	-4	6	1	2	0	3	:	1	5	0	1	2	1	:	7	1	U-U-U-N-S-N
18	Valencia	1	2	3	9	:	11	-2	5	1	2	0	5	:	4	5	0	0	3	4	:	7	0	S-N-U-N-U-N
19	Gijon	1	0	5	9	:	14	-5	3	1	0	2	5	:	7	3	0	0	3	4	:	7	0	N-N-S-N-N-N
20	Osasuna	0	0	6	1	:	14	-13	0	0	0	3	0	:	7	0	0	0	3	1	:	7	0	N-N-N-N-N-N
