Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Real Madrid	4	2	0	15	:	6	9	14	2	1	0	8	:	4	7	2	1	0	7	:	2	7	U-U-S-S-S-S
2	Barcelona	4	1	1	19	:	6	13	13	1	1	1	8	:	5	4	3	0	0	11	:	1	9	S-U-S-N-S-S
3	At. Madrid	3	3	0	12	:	2	10	12	2	1	0	7	:	1	7	1	2	0	5	:	1	5	S-U-S-S-U-U
4	Villarreal	3	3	0	9	:	4	5	12	2	1	0	5	:	2	7	1	2	0	4	:	2	5	S-U-S-S-U-U
5	At. Bilbao	4	0	2	9	:	6	3	12	2	0	1	5	:	3	6	2	0	1	4	:	3	6	S-S-S-S-N-N
6	FC Sevilla	3	2	1	11	:	9	2	11	3	0	0	9	:	5	9	0	2	1	2	:	4	2	N-S-U-S-U-S
7	Las Palmas	3	1	2	14	:	11	3	10	2	1	0	8	:	3	7	1	0	2	6	:	8	3	U-N-S-N-S-S
8	Eibar	3	1	2	8	:	6	2	10	2	1	0	4	:	1	7	1	0	2	4	:	5	3	S-N-U-S-S-N
9	Alaves	2	3	1	7	:	5	2	9	1	2	0	3	:	1	5	1	1	1	4	:	4	4	S-N-U-S-U-U
10	Real Betis	2	2	2	8	:	11	-3	8	1	2	0	3	:	2	5	1	0	2	5	:	9	3	S-N-U-S-U-N
11	Real Sociedad	2	1	3	8	:	9	-1	7	1	1	1	5	:	5	4	1	0	2	3	:	4	3	N-S-N-U-S-N
12	Celta Vigo	2	1	3	5	:	8	-3	7	1	0	2	2	:	6	3	1	1	1	3	:	2	4	S-S-U-N-N-N
13	Leganes	2	1	3	6	:	10	-4	7	0	1	2	2	:	7	1	2	0	1	4	:	3	6	N-S-N-N-U-S
14	Gijon	2	1	3	5	:	14	-9	7	2	0	1	4	:	7	6	0	1	2	1	:	7	1	N-N-N-S-U-S
15	Valencia	2	0	4	9	:	12	-3	6	1	0	2	6	:	8	3	1	0	2	3	:	4	3	S-S-N-N-N-N
16	Deportivo	1	2	3	3	:	5	-2	5	1	0	2	3	:	4	3	0	2	1	0	:	1	2	N-N-U-N-U-S
17	Malaga	1	2	3	5	:	8	-3	5	1	1	1	3	:	4	4	0	1	2	2	:	4	1	N-S-N-N-U-U
18	Espanyol	1	2	3	9	:	14	-5	5	0	1	2	2	:	6	1	1	1	1	7	:	8	4	N-S-N-U-U-N
19	Granada	0	2	4	7	:	15	-8	2	0	1	2	3	:	5	1	0	1	2	4	:	10	1	N-N-U-N-N-U
20	Osasuna	0	2	4	5	:	13	-8	2	0	1	2	1	:	4	1	0	1	2	4	:	9	1	N-N-U-N-N-U
