Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	FC Sevilla	5	0	1	18	:	7	11	15	2	0	0	6	:	2	6	3	0	1	12	:	5	9	S-S-S-S-S-N
2	Barcelona	4	2	0	18	:	3	15	14	2	1	0	10	:	2	7	2	1	0	8	:	1	7	S-S-U-S-S-U
3	Real Sociedad	4	0	2	9	:	11	-2	12	2	0	1	4	:	6	6	2	0	1	5	:	5	6	S-S-N-S-S-N
4	Valencia	3	2	1	13	:	10	3	11	2	1	0	6	:	4	7	1	1	1	7	:	6	4	S-S-S-U-N-U
5	At. Madrid	3	2	1	6	:	5	1	11	2	1	0	2	:	0	7	1	1	1	4	:	5	4	U-S-S-S-N-U
6	Real Madrid	3	1	2	13	:	8	5	10	3	0	0	10	:	3	9	0	1	2	3	:	5	1	N-S-N-S-S-U
7	Deportivo	2	3	1	11	:	6	5	9	2	1	0	7	:	1	7	0	2	1	4	:	5	2	U-U-U-S-N-S
8	Villarreal	2	3	1	7	:	4	3	9	1	1	1	4	:	3	4	1	2	0	3	:	1	5	N-U-U-S-S-U
9	At. Bilbao	2	3	1	7	:	5	2	9	2	2	0	7	:	4	8	0	1	1	0	:	1	1	U-U-U-S-N-S
10	Real Betis	2	2	2	6	:	5	1	8	2	2	0	6	:	3	8	0	0	2	0	:	2	0	U-N-S-N-S-U
11	Espanyol	2	2	2	8	:	9	-1	8	2	1	0	6	:	3	7	0	1	2	2	:	6	1	S-N-U-N-S-U
12	Alaves	1	4	1	4	:	4	0	7	1	2	0	4	:	3	5	0	2	1	0	:	1	2	U-N-U-S-U-U
13	Celta Vigo	2	1	3	8	:	10	-2	7	2	0	1	4	:	4	6	0	1	2	4	:	6	1	N-S-S-N-N-U
14	Las Palmas	1	3	2	4	:	9	-5	6	1	2	0	3	:	2	5	0	1	2	1	:	7	1	U-N-S-N-U-U
15	Leganes	0	5	1	4	:	6	-2	5	0	3	0	1	:	1	3	0	2	1	3	:	5	2	U-U-N-U-U-U
16	Eibar	1	2	3	5	:	12	-7	5	0	1	2	0	:	6	1	1	1	1	5	:	6	4	N-S-N-U-U-N
17	Granada	1	2	3	5	:	13	-8	5	1	1	1	3	:	4	4	0	1	2	2	:	9	1	N-U-N-N-U-S
18	Gijon	1	1	4	7	:	10	-3	4	1	0	2	6	:	7	3	0	1	2	1	:	3	1	U-N-N-N-N-S
19	Osasuna	0	2	4	8	:	16	-8	2	0	1	2	6	:	10	1	0	1	2	2	:	6	1	N-U-U-N-N-N
20	Malaga	0	2	4	6	:	14	-8	2	0	1	1	1	:	3	1	0	1	3	5	:	11	1	N-N-N-N-U-U
