Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	5	0	1	22	:	5	17	15	3	0	0	13	:	2	9	2	0	1	9	:	3	6	N-S-S-S-S-S
2	FC Sevilla	4	2	0	8	:	3	5	14	2	1	0	4	:	1	7	2	1	0	4	:	2	7	U-U-S-S-S-S
3	Real Madrid	4	1	1	17	:	10	7	13	1	1	0	5	:	4	4	3	0	1	12	:	6	9	S-S-S-U-S-N
4	At. Madrid	4	1	1	13	:	6	7	13	2	0	1	7	:	4	6	2	1	0	6	:	2	7	S-S-U-N-S-S
5	Villarreal	4	1	1	11	:	5	6	13	1	1	1	5	:	4	4	3	0	0	6	:	1	9	S-S-S-N-S-U
6	At. Bilbao	4	0	2	8	:	5	3	12	3	0	0	6	:	2	9	1	0	2	2	:	3	3	S-S-N-S-N-S
7	Real Sociedad	3	1	2	8	:	8	0	10	0	1	2	2	:	5	1	3	0	0	6	:	3	9	N-S-U-S-N-S
8	Valencia	3	1	2	7	:	7	0	10	3	1	0	6	:	2	10	0	0	2	1	:	5	0	U-N-S-N-S-S
9	Alaves	3	1	2	7	:	11	-4	10	1	1	1	3	:	8	4	2	0	1	4	:	3	6	S-U-N-S-S-N
10	Eibar	2	2	2	11	:	9	2	8	2	0	1	8	:	4	6	0	2	1	3	:	5	2	U-N-U-S-N-S
11	Deportivo	2	2	2	5	:	8	-3	8	1	2	1	4	:	4	5	1	0	1	1	:	4	3	S-U-S-U-N-N
12	Leganes	2	1	3	7	:	6	1	7	2	0	1	5	:	2	6	0	1	2	2	:	4	1	U-S-N-S-N-N
13	Espanyol	2	1	3	10	:	11	-1	7	2	0	1	8	:	5	6	0	1	2	2	:	6	1	S-N-U-S-N-N
14	Granada	2	0	4	7	:	11	-4	6	2	0	1	6	:	3	6	0	0	3	1	:	8	0	N-N-S-N-S-N
15	Celta Vigo	1	2	3	7	:	13	-6	5	1	1	2	6	:	7	4	0	1	1	1	:	6	1	N-N-N-U-U-S
16	Gijon	1	2	3	6	:	13	-7	5	0	1	2	2	:	6	1	1	1	1	4	:	7	4	U-N-N-U-N-S
17	Las Palmas	1	1	4	12	:	13	-1	4	1	0	2	5	:	4	3	0	1	2	7	:	9	1	N-S-U-N-N-N
18	Real Betis	1	1	4	8	:	13	-5	4	0	0	2	3	:	5	0	1	1	2	5	:	8	4	N-U-N-S-N-N
19	Malaga	1	1	4	5	:	10	-5	4	1	0	2	4	:	5	3	0	1	2	1	:	5	1	N-N-N-N-S-U
20	Osasuna	0	1	5	5	:	19	-14	1	0	1	2	3	:	8	1	0	0	3	2	:	11	0	U-N-N-N-N-N
