Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	5	0	1	18	:	7	11	15	2	0	0	5	:	0	6	3	0	1	13	:	7	9	S-S-S-S-N-S
2	Real Madrid	4	2	0	18	:	6	12	14	2	1	0	6	:	2	7	2	1	0	12	:	4	7	S-S-S-S-U-U
3	Villarreal	4	1	1	13	:	4	9	13	4	0	0	12	:	2	12	0	1	1	1	:	2	1	S-N-S-S-U-S
4	Celta Vigo	4	1	1	15	:	13	2	13	3	0	0	10	:	5	9	1	1	1	5	:	8	4	S-U-S-N-S-S
5	At. Madrid	4	0	2	14	:	6	8	12	3	0	0	12	:	3	9	1	0	2	2	:	3	3	N-S-N-S-S-S
6	Real Sociedad	4	0	2	10	:	5	5	12	3	0	0	6	:	0	9	1	0	2	4	:	5	3	S-S-S-N-S-N
7	Malaga	3	1	2	12	:	9	3	10	3	0	0	9	:	3	9	0	1	2	3	:	6	1	S-N-S-U-S-N
8	FC Sevilla	3	1	2	9	:	9	0	10	2	0	1	4	:	3	6	1	1	1	5	:	6	4	N-U-S-S-S-N
9	Eibar	2	2	2	10	:	9	1	8	2	0	1	6	:	4	6	0	2	1	4	:	5	2	N-S-U-N-U-S
10	At. Bilbao	2	2	2	9	:	8	1	8	2	1	0	7	:	4	7	0	1	2	2	:	4	1	U-U-N-S-N-S
11	Las Palmas	1	4	1	9	:	9	0	7	1	3	0	6	:	5	6	0	1	1	3	:	4	1	S-U-N-U-U-U
12	Espanyol	1	4	1	4	:	5	-1	7	0	3	1	3	:	5	3	1	1	0	1	:	0	4	U-S-U-U-U-N
13	Valencia	2	1	3	8	:	10	-2	7	0	0	2	2	:	5	0	2	1	1	6	:	5	7	N-U-N-S-N-S
14	Alaves	2	1	3	7	:	11	-4	7	1	1	1	5	:	6	4	1	0	2	2	:	5	3	S-N-N-U-N-S
15	Real Betis	2	0	4	4	:	11	-7	6	1	0	2	2	:	7	3	1	0	2	2	:	4	3	N-N-S-N-N-S
16	Osasuna	1	2	3	8	:	11	-3	5	0	1	2	3	:	5	1	1	1	1	5	:	6	4	N-U-N-S-U-N
17	Deportivo	1	2	3	5	:	12	-7	5	1	1	0	3	:	2	4	0	1	3	2	:	10	1	U-U-N-N-S-N
18	Leganes	1	0	5	4	:	14	-10	3	0	0	3	3	:	7	0	1	0	2	1	:	7	3	N-N-N-N-S-N
19	Gijon	0	2	4	5	:	13	-8	2	0	1	2	2	:	8	1	0	1	2	3	:	5	1	N-U-U-N-N-N
20	Granada	0	2	4	3	:	13	-10	2	0	2	1	1	:	2	2	0	0	3	2	:	11	0	U-N-U-N-N-N
