Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	FC Sevilla	5	0	1	17	:	6	11	15	2	0	0	6	:	2	6	3	0	1	11	:	4	9	S-S-S-N-S-S
2	Real Madrid	4	1	1	15	:	6	9	13	3	0	0	10	:	3	9	1	1	1	5	:	3	4	N-S-S-U-S-S
3	Espanyol	3	2	1	8	:	6	2	11	2	1	0	6	:	2	7	1	1	1	2	:	4	4	U-N-S-U-S-S
4	Barcelona	2	4	0	10	:	4	6	10	1	2	0	5	:	2	5	1	2	0	5	:	2	5	U-S-S-U-U-U
5	Real Betis	3	1	2	9	:	7	2	10	3	1	0	8	:	3	10	0	0	2	1	:	4	0	S-N-S-U-N-S
6	At. Bilbao	3	1	2	7	:	6	1	10	3	1	0	6	:	2	10	0	0	2	1	:	4	0	U-S-N-S-N-S
7	At. Madrid	3	1	2	6	:	6	0	10	1	1	1	1	:	3	4	2	0	1	5	:	3	6	S-S-N-U-S-N
8	Real Sociedad	3	1	2	10	:	13	-3	10	1	1	1	4	:	7	4	2	0	1	6	:	6	6	N-S-S-N-U-S
9	Alaves	2	3	1	4	:	2	2	9	1	1	1	2	:	2	4	1	2	0	2	:	0	5	U-S-U-U-S-N
10	Villarreal	2	2	2	7	:	5	2	8	1	1	1	4	:	3	4	1	1	1	3	:	2	4	U-S-S-U-N-N
11	Las Palmas	2	2	2	6	:	6	0	8	2	1	0	5	:	2	7	0	1	2	1	:	4	1	S-N-U-U-S-N
12	Eibar	2	2	2	6	:	7	-1	8	2	1	1	4	:	3	7	0	1	1	2	:	4	1	N-U-U-N-S-S
13	Deportivo	2	1	3	15	:	12	3	7	2	0	1	9	:	4	6	0	1	2	6	:	8	1	U-S-N-S-N-N
14	Celta Vigo	2	1	3	10	:	11	-1	7	2	0	1	6	:	5	6	0	1	2	4	:	6	1	S-N-N-U-S-N
15	Valencia	1	3	2	11	:	12	-1	6	1	2	0	5	:	4	5	0	1	2	6	:	8	1	S-U-N-U-N-U
16	Leganes	1	3	2	4	:	7	-3	6	1	2	0	3	:	1	5	0	1	2	1	:	6	1	N-U-U-U-N-S
17	Malaga	1	3	2	9	:	13	-4	6	1	1	0	5	:	4	4	0	2	2	4	:	9	2	N-N-U-U-S-U
18	Granada	1	2	3	5	:	13	-8	5	1	0	1	2	:	3	3	0	2	2	3	:	10	2	N-N-U-S-N-U
19	Gijon	1	0	5	7	:	12	-5	3	1	0	2	5	:	7	3	0	0	3	2	:	5	0	N-N-N-S-N-N
20	Osasuna	0	1	5	4	:	16	-12	1	0	1	2	3	:	9	1	0	0	3	1	:	7	0	U-N-N-N-N-N
