Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	4	1	1	17	:	7	10	13	2	1	0	6	:	1	7	2	0	1	11	:	6	6	S-S-S-N-S-U
2	At. Madrid	4	1	1	15	:	5	10	13	3	0	0	12	:	3	9	1	1	1	3	:	2	4	S-N-S-S-S-U
3	Celta Vigo	4	1	1	15	:	13	2	13	3	0	0	10	:	5	9	1	1	1	5	:	8	4	U-S-N-S-S-S
4	FC Sevilla	4	1	1	9	:	7	2	13	3	0	0	4	:	1	9	1	1	1	5	:	6	4	U-S-S-S-N-S
5	Real Madrid	3	3	0	16	:	7	9	12	1	2	0	4	:	3	5	2	1	0	12	:	4	7	S-S-S-U-U-U
6	Real Sociedad	4	0	2	12	:	6	6	12	3	0	0	8	:	1	9	1	0	2	4	:	5	3	S-S-N-S-N-S
7	Villarreal	3	2	1	12	:	5	7	11	3	0	0	10	:	2	9	0	2	1	2	:	3	2	N-S-S-U-S-U
8	Malaga	3	1	2	11	:	8	3	10	3	0	0	8	:	2	9	0	1	2	3	:	6	1	N-S-U-S-N-S
9	At. Bilbao	3	1	2	11	:	9	2	10	2	1	0	7	:	4	7	1	0	2	4	:	5	3	U-N-S-N-S-S
10	Valencia	3	1	2	9	:	9	0	10	1	0	2	4	:	6	3	2	1	0	5	:	3	7	U-N-S-N-S-S
11	Espanyol	2	3	1	6	:	6	0	9	0	2	1	3	:	5	2	2	1	0	3	:	1	7	S-U-U-U-N-S
12	Eibar	2	2	2	11	:	10	1	8	2	0	1	6	:	4	6	0	2	1	5	:	6	2	S-U-N-U-S-N
13	Leganes	2	0	4	6	:	12	-6	6	0	0	3	3	:	7	0	2	0	1	3	:	5	6	N-N-N-S-N-S
14	Real Betis	2	0	4	4	:	10	-6	6	1	0	2	2	:	7	3	1	0	2	2	:	3	3	N-S-N-N-S-N
15	Osasuna	1	2	3	9	:	12	-3	5	0	1	2	4	:	6	1	1	1	1	5	:	6	4	U-N-S-U-N-N
16	Las Palmas	0	4	2	9	:	13	-4	4	0	3	0	5	:	5	3	0	1	2	4	:	8	1	U-N-U-U-U-N
17	Alaves	1	1	4	7	:	13	-6	4	1	1	1	5	:	6	4	0	0	3	2	:	7	0	N-N-U-N-S-N
18	Deportivo	1	1	4	5	:	13	-8	4	1	1	1	4	:	4	4	0	0	3	1	:	9	0	U-N-N-S-N-N
19	Gijon	0	2	4	4	:	12	-8	2	0	1	2	2	:	8	1	0	1	2	2	:	4	1	U-U-N-N-N-N
20	Granada	0	1	5	3	:	14	-11	1	0	1	2	1	:	3	1	0	0	3	2	:	11	0	N-U-N-N-N-N
