Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	6	0	0	24	:	3	21	18	4	0	0	16	:	2	12	2	0	0	8	:	1	6	S-S-S-S-S-S
2	FC Sevilla	4	2	0	7	:	2	5	14	2	1	0	3	:	0	7	2	1	0	4	:	2	7	U-S-S-S-S-U
3	Real Madrid	4	1	1	17	:	9	8	13	1	1	0	5	:	3	4	3	0	1	12	:	6	9	S-S-U-S-N-S
4	At. Madrid	4	1	1	14	:	6	8	13	3	0	1	9	:	4	9	1	1	0	5	:	2	4	S-U-N-S-S-S
5	Real Sociedad	4	1	1	11	:	8	3	13	1	1	1	5	:	5	4	3	0	0	6	:	3	9	S-U-S-N-S-S
6	Villarreal	3	2	1	10	:	5	5	11	1	1	1	5	:	4	4	2	1	0	5	:	1	7	S-S-N-S-U-U
7	Eibar	3	1	2	14	:	8	6	10	2	0	1	8	:	4	6	1	1	1	6	:	4	4	N-U-S-N-S-S
8	Valencia	3	1	2	6	:	6	0	10	3	0	0	5	:	1	9	0	1	2	1	:	5	1	N-S-N-S-S-U
9	Alaves	3	1	2	9	:	12	-3	10	1	1	1	3	:	8	4	2	0	1	6	:	4	6	U-N-S-S-N-S
10	Granada	3	0	3	8	:	10	-2	9	3	0	0	7	:	2	9	0	0	3	1	:	8	0	N-S-N-S-N-S
11	At. Bilbao	3	0	3	6	:	8	-2	9	3	0	0	6	:	2	9	0	0	3	0	:	6	0	S-N-S-N-S-N
12	Espanyol	2	1	3	7	:	8	-1	7	1	0	1	4	:	2	3	1	1	2	3	:	6	4	N-U-S-N-N-S
13	Leganes	2	0	4	6	:	7	-1	6	2	0	1	5	:	2	6	0	0	3	1	:	5	0	S-N-S-N-N-N
14	Real Betis	1	2	3	7	:	11	-4	5	0	1	2	3	:	5	1	1	1	1	4	:	6	4	U-N-S-N-N-U
15	Deportivo	1	2	3	4	:	9	-5	5	0	2	1	2	:	3	2	1	0	2	2	:	6	3	U-S-U-N-N-N
16	Celta Vigo	1	2	3	9	:	15	-6	5	1	1	1	6	:	6	4	0	1	2	3	:	9	1	N-N-U-U-S-N
17	Las Palmas	1	1	4	9	:	10	-1	4	1	0	2	5	:	4	3	0	1	2	4	:	6	1	S-U-N-N-N-N
18	Malaga	1	1	4	4	:	9	-5	4	1	0	2	3	:	4	3	0	1	2	1	:	5	1	N-N-N-S-U-N
19	Gijon	1	1	4	7	:	16	-9	4	0	1	3	4	:	10	1	1	0	1	3	:	6	3	N-N-U-N-S-N
20	Osasuna	0	0	6	6	:	21	-15	0	0	0	2	2	:	7	0	0	0	4	4	:	14	0	N-N-N-N-N-N
