Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	At. Madrid	4	2	0	13	:	1	12	14	2	0	0	6	:	0	6	2	2	0	7	:	1	8	S-S-U-S-S-U
2	Real Madrid	3	3	0	13	:	7	6	12	2	2	0	9	:	5	8	1	1	0	4	:	2	4	U-U-U-S-S-S
3	Villarreal	3	3	0	8	:	3	5	12	2	1	0	5	:	2	7	1	2	0	3	:	1	5	U-S-U-S-S-U
4	At. Bilbao	4	0	2	9	:	6	3	12	2	0	1	5	:	3	6	2	0	1	4	:	3	6	N-S-S-S-S-N
5	Eibar	3	2	1	8	:	5	3	11	2	1	0	4	:	1	7	1	1	1	4	:	4	4	U-S-N-U-S-S
6	FC Sevilla	3	2	1	7	:	6	1	11	3	0	0	5	:	2	9	0	2	1	2	:	4	2	S-N-S-U-S-U
7	Barcelona	3	1	2	16	:	8	8	10	0	1	1	2	:	3	1	3	0	1	14	:	5	9	N-S-U-S-N-S
8	Real Sociedad	3	1	2	9	:	6	3	10	2	1	0	6	:	2	7	1	0	2	3	:	4	3	S-N-S-N-U-S
9	Celta Vigo	3	1	2	9	:	10	-1	10	2	0	1	6	:	8	6	1	1	1	3	:	2	4	S-S-S-U-N-N
10	Las Palmas	2	2	2	12	:	11	1	8	2	1	0	8	:	3	7	0	1	2	4	:	8	1	U-U-N-S-N-S
11	Alaves	2	2	2	7	:	6	1	8	1	2	0	3	:	1	5	1	0	2	4	:	5	3	N-S-N-U-S-U
12	Real Betis	2	2	2	6	:	6	0	8	1	2	0	3	:	2	5	1	0	2	3	:	4	3	N-S-N-U-S-U
13	Malaga	2	1	3	6	:	8	-2	7	2	0	1	4	:	4	6	0	1	2	2	:	4	1	S-N-S-N-N-U
14	Leganes	2	1	3	6	:	10	-4	7	0	1	2	2	:	7	1	2	0	1	4	:	3	6	S-N-S-N-N-U
15	Valencia	2	0	4	7	:	10	-3	6	1	0	2	4	:	6	3	1	0	2	3	:	4	3	N-S-S-N-N-N
16	Espanyol	1	3	2	5	:	8	-3	6	0	2	2	2	:	6	2	1	1	0	3	:	2	4	U-N-S-N-U-U
17	Deportivo	1	2	3	3	:	5	-2	5	1	0	2	3	:	4	3	0	2	1	0	:	1	2	S-N-N-U-N-U
18	Gijon	1	1	4	4	:	15	-11	4	1	0	1	2	:	6	3	0	1	3	2	:	9	1	N-N-N-N-S-U
19	Osasuna	0	2	4	6	:	14	-8	2	0	2	2	3	:	6	2	0	0	2	3	:	8	0	U-N-N-U-N-N
20	Granada	0	1	5	6	:	15	-9	1	0	0	3	2	:	5	0	0	1	2	4	:	10	1	N-N-N-U-N-N
