Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	FC Sevilla	5	0	1	16	:	5	11	15	3	0	0	8	:	3	9	2	0	1	8	:	2	6	S-S-S-S-N-S
2	At. Madrid	4	1	1	7	:	3	4	13	2	1	0	2	:	0	7	2	0	1	5	:	3	6	S-S-S-N-U-S
3	Barcelona	3	3	0	15	:	4	11	12	2	1	0	10	:	2	7	1	2	0	5	:	2	5	S-U-S-S-U-U
4	Real Madrid	3	1	2	13	:	8	5	10	3	0	0	10	:	3	9	0	1	2	3	:	5	1	N-N-S-S-U-S
5	Celta Vigo	3	1	2	11	:	10	1	10	3	0	1	7	:	5	9	0	1	1	4	:	5	1	S-S-N-N-U-S
6	Real Sociedad	3	1	2	9	:	12	-3	10	1	1	1	4	:	7	4	2	0	1	5	:	5	6	S-N-S-S-N-U
7	Villarreal	2	3	1	7	:	4	3	9	1	1	1	4	:	3	4	1	2	0	3	:	1	5	U-U-S-S-U-N
8	Alaves	2	3	1	4	:	2	2	9	1	1	0	2	:	1	4	1	2	1	2	:	1	5	N-U-S-U-U-S
9	Deportivo	2	2	2	13	:	9	4	8	2	1	0	7	:	1	7	0	1	2	6	:	8	1	U-U-S-N-S-N
10	Valencia	2	2	2	12	:	12	0	8	2	1	0	6	:	4	7	0	1	2	6	:	8	1	S-S-U-N-U-N
11	Espanyol	2	2	2	8	:	8	0	8	2	1	0	6	:	2	7	0	1	2	2	:	6	1	N-U-N-S-U-S
12	At. Bilbao	2	2	2	6	:	6	0	8	2	1	0	5	:	2	7	0	1	2	1	:	4	1	U-U-S-N-S-N
13	Eibar	2	2	2	8	:	9	-1	8	1	1	1	3	:	3	4	1	1	1	5	:	6	4	S-N-U-U-N-S
14	Las Palmas	2	2	2	6	:	9	-3	8	2	1	0	5	:	2	7	0	1	2	1	:	7	1	N-S-N-U-U-S
15	Real Betis	2	1	3	7	:	8	-1	7	2	1	0	6	:	3	7	0	0	3	1	:	5	0	N-S-N-S-U-N
16	Malaga	1	2	3	9	:	15	-6	5	1	1	1	5	:	6	4	0	1	2	4	:	9	1	N-N-N-U-U-S
17	Granada	1	2	3	5	:	13	-8	5	1	1	1	3	:	4	4	0	1	2	2	:	9	1	U-N-N-U-S-N
18	Leganes	0	4	2	2	:	7	-5	4	0	3	0	1	:	1	3	0	1	2	1	:	6	1	U-N-U-U-U-N
19	Gijon	1	0	5	8	:	12	-4	3	1	0	2	6	:	7	3	0	0	3	2	:	5	0	N-N-N-N-S-N
20	Osasuna	0	2	4	5	:	15	-10	2	0	1	2	3	:	9	1	0	1	2	2	:	6	1	U-U-N-N-N-N
