Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Real Madrid	4	0	0	12	:	3	9	12	2	0	0	7	:	3	6	2	0	0	5	:	0	6	S-S-S-S
2	Barcelona	3	0	1	13	:	5	8	9	1	0	1	7	:	4	3	2	0	0	6	:	1	6	S-N-S-S
3	Las Palmas	3	0	1	11	:	5	6	9	2	0	0	6	:	1	6	1	0	1	5	:	4	3	S-N-S-S
4	At. Madrid	2	2	0	10	:	1	9	8	1	1	0	6	:	1	4	1	1	0	4	:	0	4	S-S-U-U
5	FC Sevilla	2	2	0	9	:	6	3	8	2	0	0	8	:	5	6	0	2	0	1	:	1	2	U-S-U-S
6	Villarreal	2	2	0	5	:	2	3	8	1	1	0	2	:	1	4	1	1	0	3	:	1	4	S-S-U-U
7	Eibar	2	1	1	5	:	4	1	7	1	1	0	2	:	1	4	1	0	1	3	:	3	3	U-S-S-N
8	Gijon	2	1	1	4	:	7	-3	7	2	0	0	4	:	2	6	0	1	1	0	:	5	1	N-S-U-S
9	Alaves	1	3	0	3	:	2	1	6	0	2	0	0	:	0	2	1	1	0	3	:	2	4	U-S-U-U
10	At. Bilbao	2	0	2	4	:	4	0	6	1	0	1	2	:	2	3	1	0	1	2	:	2	3	S-S-N-N
11	Deportivo	1	2	1	2	:	2	0	5	1	0	1	2	:	2	3	0	2	0	0	:	0	2	U-N-U-S
12	Real Betis	1	2	1	7	:	10	-3	5	0	2	0	2	:	2	2	1	0	1	5	:	8	3	U-S-U-N
13	Real Sociedad	1	1	2	4	:	6	-2	4	0	1	1	1	:	4	1	1	0	1	3	:	2	3	N-U-S-N
14	Leganes	1	1	2	3	:	7	-4	4	0	1	1	1	:	5	1	1	0	1	2	:	2	3	N-N-U-S
15	Malaga	0	2	2	3	:	6	-3	2	0	1	1	1	:	3	1	0	1	1	2	:	3	1	N-N-U-U
16	Espanyol	0	2	2	7	:	11	-4	2	0	1	1	2	:	4	1	0	1	1	5	:	7	1	N-U-U-N
17	Granada	0	2	2	5	:	10	-5	2	0	1	1	2	:	3	1	0	1	1	3	:	7	1	U-N-N-U
18	Osasuna	0	2	2	3	:	8	-5	2	0	1	1	0	:	2	1	0	1	1	3	:	6	1	U-N-N-U
19	Celta Vigo	0	1	3	1	:	7	-6	1	0	0	2	0	:	5	0	0	1	1	1	:	2	1	U-N-N-N
20	Valencia	0	0	4	5	:	10	-5	0	0	0	2	4	:	7	0	0	0	2	1	:	3	0	N-N-N-N
