Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	At. Madrid	5	1	0	9	:	1	8	16	3	1	0	7	:	1	10	2	0	0	2	:	0	6	S-S-S-U-S-S
2	Barcelona	4	2	0	15	:	4	11	14	2	1	0	5	:	1	7	2	1	0	10	:	3	7	U-U-S-S-S-S
3	Real Madrid	4	1	1	21	:	8	13	13	2	0	1	12	:	4	6	2	1	0	9	:	4	7	S-S-U-S-S-N
4	Real Betis	4	0	2	13	:	14	-1	12	2	0	1	5	:	8	6	2	0	1	8	:	6	6	S-S-N-N-S-S
5	Eibar	3	2	1	10	:	5	5	11	1	1	1	6	:	3	4	2	1	0	4	:	2	7	S-S-U-U-N-S
6	Celta Vigo	3	2	1	11	:	9	2	11	1	2	0	7	:	6	5	2	0	1	4	:	3	6	U-N-S-S-S-U
7	Villarreal	3	1	2	10	:	8	2	10	2	1	1	8	:	6	7	1	0	1	2	:	2	3	N-N-S-S-S-U
8	Alaves	3	1	2	8	:	8	0	10	2	1	0	5	:	3	7	1	0	2	3	:	5	3	S-S-N-U-S-N
9	Valencia	3	0	3	9	:	10	-1	9	2	0	1	6	:	6	6	1	0	2	3	:	4	3	S-N-N-N-S-S
10	Girona	2	2	2	10	:	4	6	8	2	0	0	8	:	0	6	0	2	2	2	:	4	2	N-S-U-U-S-N
11	At. Bilbao	1	4	1	6	:	6	0	7	1	2	0	3	:	1	5	0	2	1	3	:	5	2	U-N-U-U-U-S
12	Getafe	1	4	1	4	:	5	-1	7	1	2	0	3	:	2	5	0	2	1	1	:	3	2	U-U-U-U-S-N
13	FC Sevilla	2	1	3	9	:	12	-3	7	1	1	1	5	:	6	4	1	0	2	4	:	6	3	S-N-U-S-N-N
14	Las Palmas	2	1	3	4	:	12	-8	7	2	0	1	4	:	3	6	0	1	2	0	:	9	1	U-S-N-S-N-N
15	Espanyol	1	3	2	7	:	10	-3	6	0	2	1	2	:	5	2	1	1	1	5	:	5	4	U-U-N-N-U-S
16	Leganes	1	2	3	8	:	11	-3	5	1	0	2	4	:	6	3	0	2	1	4	:	5	2	N-N-U-S-U-N
17	Real Sociedad	1	0	5	12	:	16	-4	3	1	0	2	8	:	6	3	0	0	3	4	:	10	0	N-S-N-N-N-N
18	Malaga	0	2	4	1	:	5	-4	2	0	1	2	0	:	2	1	0	1	2	1	:	3	1	N-N-U-U-N-N
19	Levante	0	2	4	6	:	13	-7	2	0	1	1	2	:	3	1	0	1	3	4	:	10	1	N-U-U-N-N-N
20	Deportivo	0	2	4	5	:	18	-13	2	0	1	2	3	:	5	1	0	1	2	2	:	13	1	N-N-U-N-N-U
