Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Valencia	6	0	0	23	:	8	15	18	3	0	0	12	:	2	9	3	0	0	11	:	6	9	S-S-S-S-S-S
2	Barcelona	5	1	0	17	:	2	15	16	3	0	0	11	:	1	9	2	1	0	6	:	1	7	S-S-U-S-S-S
3	Real Madrid	4	0	2	10	:	5	5	12	2	0	1	5	:	1	6	2	0	1	5	:	4	6	N-S-S-S-S-N
4	At. Madrid	3	3	0	7	:	3	4	12	1	2	0	4	:	2	5	2	1	0	3	:	1	7	U-S-U-U-S-S
5	Villarreal	3	2	1	10	:	6	4	11	2	1	0	7	:	0	7	1	1	1	3	:	6	4	U-S-S-S-N-U
6	Leganes	3	2	1	6	:	2	4	11	1	2	0	1	:	0	5	2	0	1	5	:	2	6	N-S-S-U-S-U
7	Real Betis	3	1	2	14	:	11	3	10	2	0	1	9	:	6	6	1	1	1	5	:	5	4	N-S-N-U-S-S
8	Deportivo	3	1	2	8	:	8	0	10	2	0	1	4	:	3	6	1	1	1	4	:	5	4	S-N-U-S-N-S
9	Espanyol	2	3	1	6	:	4	2	9	2	1	0	5	:	1	7	0	2	1	1	:	3	2	S-U-U-N-S-U
10	FC Sevilla	3	0	3	5	:	8	-3	9	3	0	0	5	:	1	9	0	0	3	0	:	7	0	S-N-N-S-N-S
11	Celta Vigo	2	2	2	14	:	9	5	8	0	2	1	4	:	5	2	2	0	1	10	:	4	6	N-N-S-U-S-U
12	Getafe	2	2	2	10	:	7	3	8	2	0	1	7	:	3	6	0	2	1	3	:	4	2	S-U-N-N-S-U
13	Girona	2	2	2	8	:	10	-2	8	1	0	2	3	:	6	3	1	2	0	5	:	4	5	S-S-N-U-N-U
14	Levante	1	3	2	6	:	9	-3	6	1	1	1	4	:	3	4	0	2	1	2	:	6	2	U-U-U-N-N-S
15	Real Sociedad	1	2	3	10	:	13	-3	5	0	2	1	7	:	8	2	1	0	2	3	:	5	3	N-U-S-U-N-N
16	At. Bilbao	1	1	4	7	:	11	-4	4	1	0	2	2	:	4	3	0	1	2	5	:	7	1	N-N-S-N-U-N
17	Malaga	1	1	4	5	:	15	-10	4	1	1	1	5	:	6	4	0	0	3	0	:	9	0	S-N-N-N-U-N
18	Alaves	1	0	5	4	:	9	-5	3	0	0	3	2	:	6	0	1	0	2	2	:	3	3	N-N-N-S-N-N
19	Eibar	0	2	4	3	:	18	-15	2	0	2	1	2	:	6	2	0	0	3	1	:	12	0	U-N-U-N-N-N
20	Las Palmas	0	0	6	3	:	18	-15	0	0	0	3	3	:	10	0	0	0	3	0	:	8	0	N-N-N-N-N-N
