Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	6	0	0	20	:	2	18	18	3	0	0	13	:	1	9	3	0	0	7	:	1	9	S-S-S-S-S-S
2	At. Madrid	4	2	0	12	:	4	8	14	2	0	0	3	:	0	6	2	2	0	9	:	4	8	S-S-S-U-S-U
3	FC Sevilla	4	1	1	7	:	3	4	13	2	1	0	5	:	1	7	2	0	1	2	:	2	6	N-S-S-S-S-U
4	Valencia	3	3	0	12	:	5	7	12	2	1	0	6	:	0	7	1	2	0	6	:	5	5	S-S-U-U-U-S
5	Real Betis	4	0	2	10	:	7	3	12	3	0	0	8	:	2	9	1	0	2	2	:	5	3	S-S-S-N-S-N
6	Real Madrid	3	2	1	11	:	6	5	11	0	2	1	3	:	4	2	3	0	0	8	:	2	9	S-N-S-U-U-S
7	Leganes	3	1	2	5	:	3	2	10	1	1	1	2	:	2	4	2	0	1	3	:	1	6	S-U-N-N-S-S
8	Real Sociedad	3	0	3	13	:	13	0	9	1	0	2	6	:	6	3	2	0	1	7	:	7	6	N-N-N-S-S-S
9	Levante	2	3	1	8	:	8	0	9	2	2	0	7	:	3	8	0	1	1	1	:	5	1	N-S-U-U-U-S
10	Getafe	2	2	2	8	:	5	3	8	1	0	2	5	:	3	3	1	2	0	3	:	2	5	S-U-N-S-N-U
11	At. Bilbao	2	2	2	7	:	6	1	8	1	1	1	3	:	2	4	1	1	1	4	:	4	4	U-N-N-S-S-U
12	Espanyol	2	2	2	7	:	9	-2	8	2	0	1	6	:	3	6	0	2	1	1	:	6	2	S-U-S-N-N-U
13	Celta Vigo	2	1	3	10	:	8	2	7	1	1	1	4	:	4	4	1	0	2	6	:	4	3	S-U-N-S-N-N
14	Villarreal	2	1	3	6	:	9	-3	7	1	1	0	3	:	1	4	1	0	3	3	:	8	3	N-U-S-S-N-N
15	Las Palmas	2	0	4	5	:	10	-5	6	1	0	2	2	:	7	3	1	0	2	3	:	3	3	N-N-S-S-N-N
16	Eibar	2	0	4	3	:	14	-11	6	1	0	2	1	:	5	3	1	0	2	2	:	9	3	N-N-S-N-N-S
17	Girona	1	2	3	3	:	8	-5	5	1	1	2	3	:	6	4	0	1	1	0	:	2	1	N-U-N-N-S-U
18	Deportivo	1	1	4	7	:	15	-8	4	1	0	2	3	:	7	3	0	1	2	4	:	8	1	N-S-N-N-U-N
19	Malaga	0	1	5	4	:	14	-10	1	0	1	2	4	:	7	1	0	0	3	0	:	7	0	U-N-N-N-N-N
20	Alaves	0	0	6	1	:	10	-9	0	0	0	3	1	:	7	0	0	0	3	0	:	3	0	N-N-N-N-N-N
