Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Valencia	6	0	0	20	:	6	14	18	3	0	0	10	:	2	9	3	0	0	10	:	4	9	S-S-S-S-S-S
2	Barcelona	5	1	0	13	:	2	11	16	3	0	0	7	:	1	9	2	1	0	6	:	1	7	S-S-S-S-U-S
3	Villarreal	4	2	0	13	:	3	10	14	3	0	0	9	:	0	9	1	2	0	4	:	3	5	U-S-U-S-S-S
4	Real Madrid	4	1	1	11	:	3	8	13	3	0	0	8	:	0	9	1	1	1	3	:	3	4	U-S-N-S-S-S
5	Girona	3	2	1	11	:	9	2	11	1	1	1	4	:	4	4	2	1	0	7	:	5	7	U-S-S-S-N-U
6	At. Madrid	2	4	0	4	:	2	2	10	0	3	0	2	:	2	3	2	1	0	2	:	0	7	U-S-U-S-U-U
7	Real Sociedad	2	3	1	12	:	9	3	9	1	2	0	8	:	6	5	1	1	1	4	:	3	4	U-S-N-U-S-U
8	FC Sevilla	3	0	3	7	:	9	-2	9	3	0	0	6	:	2	9	0	0	3	1	:	7	0	S-N-S-N-N-S
9	Getafe	2	2	2	11	:	9	2	8	2	0	1	7	:	4	6	0	2	1	4	:	5	2	S-U-S-U-N-N
10	Celta Vigo	2	1	3	13	:	11	2	7	1	1	1	6	:	5	4	1	0	2	7	:	6	3	N-S-N-N-S-U
11	Deportivo	2	1	3	8	:	8	0	7	1	0	2	3	:	4	3	1	1	1	5	:	4	4	N-N-S-N-U-S
12	Leganes	2	1	3	4	:	8	-4	7	1	1	1	1	:	3	4	1	0	2	3	:	5	3	N-N-N-S-S-U
13	Levante	1	3	2	6	:	7	-1	6	0	1	2	2	:	5	1	1	2	0	4	:	2	5	S-N-U-U-U-N
14	Alaves	2	0	4	5	:	10	-5	6	1	0	2	2	:	4	3	1	0	2	3	:	6	3	N-S-N-N-N-S
15	Malaga	2	0	4	5	:	11	-6	6	2	0	1	5	:	5	6	0	0	3	0	:	6	0	S-N-S-N-N-N
16	Eibar	1	2	3	8	:	11	-3	5	1	2	0	7	:	2	5	0	0	3	1	:	9	0	S-N-U-N-U-N
17	Espanyol	1	2	3	2	:	6	-4	5	1	1	1	1	:	2	4	0	1	2	1	:	4	1	N-N-S-U-U-N
18	Real Betis	1	2	3	11	:	18	-7	5	1	1	1	7	:	8	4	0	1	2	4	:	10	1	N-U-N-S-N-U
19	At. Bilbao	1	1	4	5	:	10	-5	4	1	1	1	2	:	3	4	0	0	3	3	:	7	0	U-N-N-N-S-N
20	Las Palmas	0	0	6	3	:	20	-17	0	0	0	3	3	:	10	0	0	0	3	0	:	10	0	N-N-N-N-N-N
