Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	5	0	0	17	:	2	15	15	3	0	0	13	:	1	9	2	0	0	4	:	1	6	S-S-S-S-S
2	FC Sevilla	4	1	0	7	:	1	6	13	2	1	0	5	:	1	7	2	0	0	2	:	0	6	S-S-S-S-U
3	At. Madrid	3	2	0	10	:	4	6	11	1	0	0	1	:	0	3	2	2	0	9	:	4	8	S-S-U-S-U
4	Valencia	2	3	0	9	:	3	6	9	2	1	0	6	:	0	7	0	2	0	3	:	3	2	S-U-U-U-S
5	Levante	2	3	0	8	:	4	4	9	2	2	0	7	:	3	8	0	1	0	1	:	1	1	S-U-U-U-S
6	Real Sociedad	3	0	2	11	:	10	1	9	1	0	1	4	:	3	3	2	0	1	7	:	7	6	N-N-S-S-S
7	Real Betis	3	0	2	6	:	7	-1	9	2	0	0	4	:	2	6	1	0	2	2	:	5	3	S-S-N-S-N
8	Real Madrid	2	2	1	9	:	5	4	8	0	2	1	3	:	4	2	2	0	0	6	:	1	6	N-S-U-U-S
9	Villarreal	2	1	2	6	:	5	1	7	1	1	0	3	:	1	4	1	0	2	3	:	4	3	U-S-S-N-N
10	At. Bilbao	2	1	2	4	:	3	1	7	1	1	1	3	:	2	4	1	0	1	1	:	1	3	N-N-S-S-U
11	Leganes	2	1	2	3	:	3	0	7	1	1	1	2	:	2	4	1	0	1	1	:	1	3	U-N-N-S-S
12	Las Palmas	2	0	3	5	:	8	-3	6	1	0	1	2	:	5	3	1	0	2	3	:	3	3	N-S-S-N-N
13	Eibar	2	0	3	3	:	10	-7	6	1	0	1	1	:	1	3	1	0	2	2	:	9	3	N-S-N-N-S
14	Getafe	1	2	2	4	:	5	-1	5	0	0	2	1	:	3	0	1	2	0	3	:	2	5	U-N-S-N-U
15	Girona	1	2	2	3	:	5	-2	5	1	1	1	3	:	3	4	0	1	1	0	:	2	1	U-N-N-S-U
16	Espanyol	1	2	2	3	:	8	-5	5	1	0	1	2	:	2	3	0	2	1	1	:	6	2	U-S-N-N-U
17	Celta Vigo	1	1	3	6	:	8	-2	4	1	1	1	4	:	4	4	0	0	2	2	:	4	0	U-N-S-N-N
18	Deportivo	1	1	3	6	:	11	-5	4	1	0	2	3	:	7	3	0	1	1	3	:	4	1	S-N-N-U-N
19	Alaves	0	0	5	0	:	8	-8	0	0	0	2	0	:	5	0	0	0	3	0	:	3	0	N-N-N-N-N
20	Malaga	0	0	5	1	:	11	-10	0	0	0	2	1	:	4	0	0	0	3	0	:	7	0	N-N-N-N-N
