Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Eibar	5	1	0	13	:	5	8	16	3	0	0	9	:	3	9	2	1	0	4	:	2	7	S-S-S-U-S-S
2	At. Madrid	5	0	1	11	:	2	9	15	3	0	0	5	:	1	9	2	0	1	6	:	1	6	S-N-S-S-S-S
3	Barcelona	4	2	0	15	:	3	12	14	2	1	0	9	:	2	7	2	1	0	6	:	1	7	S-S-S-S-U-U
4	At. Bilbao	3	3	0	8	:	3	5	12	1	2	0	2	:	0	5	2	1	0	6	:	3	7	S-S-U-S-U-U
5	Real Madrid	3	2	1	13	:	8	5	11	2	0	1	8	:	5	6	1	2	0	5	:	3	5	S-U-N-S-U-S
6	Espanyol	3	1	2	6	:	6	0	10	2	0	1	2	:	1	6	1	1	1	4	:	5	4	S-S-U-N-N-S
7	Alaves	3	0	3	7	:	7	0	9	2	0	1	4	:	2	6	1	0	2	3	:	5	3	N-S-N-S-S-N
8	Celta Vigo	2	2	2	9	:	8	1	8	1	1	1	3	:	3	4	1	1	1	6	:	5	4	U-S-N-N-U-S
9	Real Betis	2	1	3	9	:	9	0	7	0	1	2	2	:	5	1	2	0	1	7	:	4	6	S-N-S-N-N-U
10	Valencia	2	1	3	6	:	7	-1	7	2	1	1	5	:	4	7	0	0	2	1	:	3	0	S-N-N-S-N-U
11	Leganes	2	1	3	5	:	6	-1	7	2	0	1	5	:	4	6	0	1	2	0	:	2	1	N-S-U-N-S-N
12	Getafe	2	1	3	3	:	4	-1	7	2	1	0	3	:	0	7	0	0	3	0	:	4	0	N-S-N-U-S-N
13	Girona	2	1	3	8	:	11	-3	7	1	0	1	3	:	3	3	1	1	2	5	:	8	4	N-N-S-S-N-U
14	Villarreal	2	1	3	6	:	9	-3	7	0	1	2	3	:	6	1	2	0	1	3	:	3	6	U-S-S-N-N-N
15	FC Sevilla	2	1	3	9	:	15	-6	7	1	1	1	5	:	5	4	1	0	2	4	:	10	3	N-N-U-N-S-S
16	Real Sociedad	1	2	3	6	:	8	-2	5	1	1	1	5	:	5	4	0	1	2	1	:	3	1	N-S-U-N-N-U
17	Las Palmas	1	2	3	6	:	10	-4	5	1	1	1	4	:	4	4	0	1	2	2	:	6	1	N-N-U-N-S-U
18	Deportivo	1	2	3	5	:	12	-7	5	1	1	1	4	:	5	4	0	1	2	1	:	7	1	U-N-N-S-N-U
19	Malaga	1	1	4	4	:	7	-3	4	0	1	2	0	:	3	1	1	0	2	4	:	4	3	N-N-N-S-U-N
20	Levante	0	3	3	1	:	10	-9	3	0	1	2	1	:	7	1	0	2	1	0	:	3	2	N-U-U-N-U-N
