Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Valencia	5	1	0	12	:	4	8	16	3	0	0	7	:	2	9	2	1	0	5	:	2	7	S-S-U-S-S-S
2	At. Madrid	5	0	1	15	:	3	12	15	3	0	0	9	:	0	9	2	0	1	6	:	3	6	S-N-S-S-S-S
3	Real Madrid	5	0	1	17	:	7	10	15	2	0	0	7	:	1	6	3	0	1	10	:	6	9	S-S-N-S-S-S
4	Barcelona	4	2	0	12	:	2	10	14	2	1	0	7	:	1	7	2	1	0	5	:	1	7	S-S-U-S-S-U
5	Girona	4	0	2	9	:	7	2	12	3	0	0	6	:	0	9	1	0	2	3	:	7	3	S-S-S-N-S-N
6	FC Sevilla	4	0	2	8	:	8	0	12	2	0	2	5	:	7	6	2	0	0	3	:	1	6	N-S-S-N-S-S
7	Espanyol	2	4	0	7	:	5	2	10	2	1	0	4	:	2	7	0	3	0	3	:	3	3	S-U-S-U-U-U
8	Real Betis	3	1	2	9	:	8	1	10	0	1	1	3	:	5	1	3	0	1	6	:	3	9	S-N-U-S-N-S
9	Alaves	3	0	3	6	:	10	-4	9	2	0	1	3	:	3	6	1	0	2	3	:	7	3	N-N-S-N-S-S
10	At. Bilbao	2	2	2	5	:	6	-1	8	2	2	0	5	:	2	8	0	0	2	0	:	4	0	S-N-U-S-N-U
11	Getafe	2	1	3	7	:	5	2	7	2	0	1	6	:	1	6	0	1	2	1	:	4	1	N-N-S-N-S-U
12	Real Sociedad	2	1	3	9	:	10	-1	7	2	0	0	5	:	1	6	0	1	3	4	:	9	1	N-S-U-N-S-N
13	Villarreal	2	1	3	5	:	6	-1	7	1	0	2	2	:	4	3	1	1	1	3	:	2	4	S-N-N-S-U-N
14	Eibar	2	1	3	4	:	7	-3	7	1	0	2	2	:	4	3	1	1	1	2	:	3	4	N-U-S-N-N-S
15	Celta Vigo	2	1	3	6	:	10	-4	7	2	1	0	6	:	3	7	0	0	3	0	:	7	0	N-S-N-S-N-U
16	Levante	1	1	4	3	:	10	-7	4	0	1	1	1	:	3	1	1	0	3	2	:	7	3	S-U-N-N-N-N
17	Leganes	1	1	4	3	:	12	-9	4	1	1	1	3	:	3	4	0	0	3	0	:	9	0	N-S-N-U-N-N
18	Las Palmas	0	3	3	3	:	7	-4	3	0	1	2	2	:	5	1	0	2	1	1	:	2	2	N-N-U-U-N-U
19	Deportivo	0	2	4	1	:	8	-7	2	0	2	1	1	:	2	2	0	0	3	0	:	6	0	N-U-N-U-N-N
20	Malaga	0	0	6	2	:	10	-8	0	0	0	4	1	:	6	0	0	0	2	1	:	4	0	N-N-N-N-N-N
