Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	4	2	0	12	:	4	8	14	2	1	0	6	:	3	7	2	1	0	6	:	1	7	U-U-S-S-S-S
2	At. Madrid	4	2	0	10	:	2	8	14	1	2	0	3	:	2	5	3	0	0	7	:	0	9	S-S-U-S-U-S
3	Valencia	4	1	1	12	:	3	9	13	2	1	0	8	:	1	7	2	0	1	4	:	2	6	N-U-S-S-S-S
4	FC Sevilla	4	0	2	10	:	10	0	12	3	0	0	6	:	2	9	1	0	2	4	:	8	3	S-S-S-N-S-N
5	Real Madrid	3	2	1	10	:	4	6	11	3	0	0	9	:	2	9	0	2	1	1	:	2	2	U-S-U-S-N-S
6	Getafe	3	2	1	10	:	6	4	11	3	0	0	7	:	2	9	0	2	1	3	:	4	2	S-N-S-U-S-U
7	Girona	3	2	1	11	:	9	2	11	1	1	1	5	:	5	4	2	1	0	6	:	4	7	N-U-U-S-S-S
8	Eibar	3	1	2	13	:	10	3	10	2	1	0	10	:	3	7	1	0	2	3	:	7	3	S-S-S-N-U-N
9	Villarreal	2	2	2	11	:	8	3	8	2	0	1	8	:	3	6	0	2	1	3	:	5	2	N-N-U-S-U-S
10	Celta Vigo	2	1	3	8	:	8	0	7	2	0	1	4	:	2	6	0	1	2	4	:	6	1	U-S-N-S-N-N
11	Malaga	2	1	3	7	:	10	-3	7	2	1	0	5	:	3	7	0	0	3	2	:	7	0	U-N-S-N-S-N
12	Espanyol	2	1	3	4	:	7	-3	7	2	0	1	2	:	2	6	0	1	2	2	:	5	1	N-S-N-N-S-U
13	Real Sociedad	1	3	2	9	:	9	0	6	1	2	0	6	:	4	5	0	1	2	3	:	5	1	N-U-U-S-N-U
14	Levante	1	3	2	6	:	10	-4	6	0	1	2	2	:	8	1	1	2	0	4	:	2	5	U-N-S-N-U-U
15	Alaves	2	0	4	7	:	12	-5	6	1	0	2	3	:	4	3	1	0	2	4	:	8	3	S-N-N-S-N-N
16	Leganes	2	0	4	5	:	10	-5	6	2	0	1	4	:	4	6	0	0	3	1	:	6	0	S-N-N-N-N-S
17	Real Betis	1	2	3	6	:	11	-5	5	1	2	0	6	:	4	5	0	0	3	0	:	7	0	N-U-N-U-N-S
18	Deportivo	1	1	4	8	:	11	-3	4	0	1	2	3	:	5	1	1	0	2	5	:	6	3	N-U-N-N-S-N
19	Las Palmas	1	1	4	4	:	14	-10	4	1	0	2	2	:	5	3	0	1	2	2	:	9	1	S-U-N-N-N-N
20	At. Bilbao	0	3	3	4	:	9	-5	3	0	2	1	1	:	3	2	0	1	2	3	:	6	1	U-U-U-N-N-N
