Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	5	1	0	18	:	1	17	16	2	0	0	11	:	0	6	3	1	0	7	:	1	10	S-S-S-S-U-S
2	Bremen	4	1	1	10	:	3	7	13	2	0	1	5	:	1	6	2	1	0	5	:	2	7	S-U-S-S-S-N
3	Dortmund	4	0	2	15	:	6	9	12	3	0	0	10	:	2	9	1	0	2	5	:	4	3	S-N-S-S-S-N
4	Hoffenheim	3	2	1	11	:	6	5	11	3	0	0	8	:	2	9	0	2	1	3	:	4	2	S-U-S-U-S-N
5	Schalke	3	2	1	10	:	6	4	11	2	1	0	6	:	1	7	1	1	1	4	:	5	4	S-S-N-U-U-S
6	Hamburg	3	2	1	8	:	11	-3	11	2	1	0	5	:	3	7	1	1	1	3	:	8	4	U-S-S-N-U-S
7	Wolfsburg	3	1	2	6	:	7	-1	10	2	0	1	4	:	3	6	1	1	1	2	:	4	4	S-S-U-N-N-S
8	M'gladbach	3	0	3	9	:	7	2	9	1	0	2	5	:	5	3	2	0	1	4	:	2	6	N-N-S-S-N-S
9	Freiburg	2	3	1	8	:	9	-1	9	1	1	1	3	:	5	4	1	2	0	5	:	4	5	U-U-S-N-U-S
10	Mainz	2	1	3	6	:	6	0	7	1	1	2	3	:	4	4	1	0	1	3	:	2	3	N-N-U-S-N-S
11	Leverkusen	2	1	3	9	:	11	-2	7	1	1	1	4	:	3	4	1	0	2	5	:	8	3	N-U-N-N-S-S
12	Hertha	2	1	3	7	:	9	-2	7	2	1	0	5	:	2	7	0	0	3	2	:	7	0	N-S-N-S-U-N
13	Leipzig	2	1	3	7	:	11	-4	7	1	0	2	3	:	5	3	1	1	1	4	:	6	4	N-N-U-S-S-N
14	Darmstadt	2	0	4	5	:	9	-4	6	2	0	1	5	:	4	6	0	0	3	0	:	5	0	N-S-N-N-N-S
15	Köln	1	2	3	9	:	13	-4	5	1	1	1	5	:	6	4	0	1	2	4	:	7	1	S-U-N-N-U-N
16	Augsburg	1	2	3	6	:	12	-6	5	0	2	1	4	:	6	2	1	0	2	2	:	6	3	U-N-U-S-N-N
17	Ingolstadt	1	1	4	6	:	12	-6	4	0	1	2	2	:	6	1	1	0	2	4	:	6	3	N-U-N-N-S-N
18	Frankfurt	0	1	5	1	:	12	-11	1	0	1	2	1	:	4	1	0	0	3	0	:	8	0	U-N-N-N-N-N
