Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	3	0	0	11	:	1	10	9	2	0	0	9	:	1	6	1	0	0	2	:	0	3	S-S-S
2	Hertha	3	0	0	6	:	1	5	9	2	0	0	4	:	1	6	1	0	0	2	:	0	3	S-S-S
3	Leipzig	2	1	0	7	:	2	5	7	1	0	0	1	:	0	3	1	1	0	6	:	2	4	S-S-U
4	Köln	2	1	0	5	:	0	5	7	2	0	0	5	:	0	6	0	1	0	0	:	0	1	S-U-S
5	Dortmund	2	0	1	8	:	2	6	6	2	0	0	8	:	1	6	0	0	1	0	:	1	0	S-N-S
6	M'gladbach	2	0	1	7	:	5	2	6	2	0	0	6	:	2	6	0	0	1	1	:	3	0	S-N-S
7	Frankfurt	2	0	1	3	:	2	1	6	2	0	0	3	:	1	6	0	0	1	0	:	1	0	S-N-S
8	Wolfsburg	1	2	0	2	:	0	2	5	0	1	0	0	:	0	1	1	1	0	2	:	0	4	U-U-S
9	Mainz	1	1	1	8	:	7	1	4	0	1	0	4	:	4	1	1	0	1	4	:	3	3	S-U-N
10	Hoffenheim	0	3	0	6	:	6	0	3	0	2	0	2	:	2	2	0	1	0	4	:	4	1	U-U-U
11	Leverkusen	1	0	2	5	:	5	0	3	1	0	0	3	:	1	3	0	0	2	2	:	4	0	N-S-N
12	Freiburg	1	0	2	4	:	6	-2	3	1	0	0	3	:	1	3	0	0	2	1	:	5	0	N-S-N
13	Augsburg	1	0	2	3	:	6	-3	3	0	0	2	1	:	5	0	1	0	0	2	:	1	3	N-S-N
14	Darmstadt	1	0	2	1	:	8	-7	3	1	0	0	1	:	0	3	0	0	2	0	:	8	0	N-S-N
15	Ingolstadt	0	1	2	2	:	6	-4	1	0	0	1	0	:	2	0	0	1	1	2	:	4	1	N-N-U
16	Hamburg	0	1	2	2	:	8	-6	1	0	1	1	1	:	5	1	0	0	1	1	:	3	0	N-N-U
17	Schalke	0	0	3	0	:	5	-5	0	0	0	1	0	:	2	0	0	0	2	0	:	3	0	N-N-N
18	Bremen	0	0	3	2	:	12	-10	0	0	0	1	1	:	2	0	0	0	2	1	:	10	0	N-N-N
