Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Leipzig	5	0	1	14	:	6	8	15	2	0	0	5	:	2	6	3	0	1	9	:	4	9	N-S-S-S-S-S
2	B. München	4	1	1	14	:	5	9	13	2	1	0	8	:	2	7	2	0	1	6	:	3	6	S-S-S-N-U-S
3	Frankfurt	3	3	0	6	:	3	3	12	2	1	0	3	:	1	7	1	2	0	3	:	2	5	U-U-S-S-S-U
4	Dortmund	3	2	1	12	:	6	6	11	2	1	0	5	:	1	7	1	1	1	7	:	5	4	U-S-N-S-S-U
5	Hoffenheim	2	4	0	9	:	4	5	10	2	1	0	7	:	2	7	0	3	0	2	:	2	3	U-S-U-U-U-S
6	Hertha	3	1	2	8	:	5	3	10	2	0	1	5	:	2	6	1	1	1	3	:	3	4	N-S-S-U-S-N
7	Schalke	3	1	2	8	:	5	3	10	2	0	1	6	:	3	6	1	1	1	2	:	2	4	N-N-S-S-S-U
8	Leverkusen	3	1	2	10	:	9	1	10	1	1	1	6	:	6	4	2	0	1	4	:	3	6	S-U-N-N-S-S
9	Köln	2	2	2	6	:	7	-1	8	1	2	0	4	:	1	5	1	0	2	2	:	6	3	U-N-U-S-N-S
10	Hamburg	2	2	2	9	:	12	-3	8	1	1	1	5	:	7	4	1	1	1	4	:	5	4	S-S-U-U-N-N
11	Bremen	2	1	3	8	:	11	-3	7	1	0	2	4	:	6	3	1	1	1	4	:	5	4	S-S-U-N-N-N
12	Ingolstadt	2	1	3	4	:	7	-3	7	1	1	1	2	:	3	4	1	0	2	2	:	4	3	S-N-U-S-N-N
13	Freiburg	2	1	3	8	:	13	-5	7	1	0	2	2	:	7	3	1	1	1	6	:	6	4	S-U-N-N-N-S
14	Augsburg	1	3	2	4	:	5	-1	6	0	2	1	2	:	4	2	1	1	1	2	:	1	4	N-U-U-U-S-N
15	Mainz	2	0	4	9	:	11	-2	6	2	0	1	7	:	5	6	0	0	3	2	:	6	0	N-N-N-S-N-S
16	M'gladbach	1	2	3	4	:	10	-6	5	1	2	1	3	:	3	5	0	0	2	1	:	7	0	S-N-U-N-N-U
17	Wolfsburg	1	1	4	7	:	12	-5	4	0	0	3	3	:	6	0	1	1	1	4	:	6	4	N-N-U-N-S-N
18	Darmstadt	0	0	6	3	:	12	-9	0	0	0	3	0	:	5	0	0	0	3	3	:	7	0	N-N-N-N-N-N
