Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	6	0	0	16	:	3	13	18	3	0	0	10	:	1	9	3	0	0	6	:	2	9	S-S-S-S-S-S
2	Leipzig	4	0	2	11	:	6	5	12	3	0	0	7	:	1	9	1	0	2	4	:	5	3	S-N-S-N-S-S
3	Hoffenheim	2	4	0	10	:	4	6	10	1	2	0	7	:	3	5	1	2	0	3	:	1	5	S-U-U-U-S-U
4	Hamburg	3	1	2	8	:	7	1	10	2	1	0	5	:	3	7	1	0	2	3	:	4	3	N-S-N-S-S-U
5	Wolfsburg	3	1	2	7	:	10	-3	10	2	0	1	4	:	3	6	1	1	1	3	:	7	4	S-S-S-N-N-U
6	Dortmund	2	3	1	11	:	8	3	9	1	1	0	5	:	2	4	1	2	1	6	:	6	5	S-U-U-U-S-N
7	Bremen	2	3	1	8	:	7	1	9	1	1	1	4	:	4	4	1	2	0	4	:	3	5	N-U-U-S-S-U
8	Hertha	3	0	3	8	:	9	-1	9	2	0	1	4	:	2	6	1	0	2	4	:	7	3	N-S-N-N-S-S
9	Leverkusen	2	2	2	8	:	7	1	8	1	1	1	5	:	4	4	1	1	1	3	:	3	4	S-U-N-S-U-N
10	Frankfurt	2	2	2	6	:	6	0	8	2	1	0	5	:	1	7	0	1	2	1	:	5	1	N-S-N-U-U-S
11	Freiburg	2	2	2	7	:	9	-2	8	1	0	2	3	:	6	3	1	2	0	4	:	3	5	N-S-U-S-U-N
12	Schalke	2	1	3	7	:	7	0	7	2	1	1	5	:	3	7	0	0	2	2	:	4	0	S-N-U-N-N-S
13	Ingolstadt	2	1	3	6	:	7	-1	7	1	1	1	3	:	3	4	1	0	2	3	:	4	3	N-N-S-S-N-U
14	Augsburg	1	3	2	3	:	5	-2	6	1	1	1	2	:	3	4	0	2	1	1	:	2	2	N-U-S-N-U-U
15	M'gladbach	1	2	3	4	:	8	-4	5	1	1	1	3	:	3	4	0	1	2	1	:	5	1	U-N-N-S-N-U
16	Köln	0	5	1	3	:	7	-4	5	0	3	0	2	:	2	3	0	2	1	1	:	5	2	U-U-U-U-N-U
17	Mainz	1	1	4	5	:	10	-5	4	1	1	1	4	:	4	4	0	0	3	1	:	6	0	U-N-S-N-N-N
18	Darmstadt	0	1	5	1	:	9	-8	1	0	1	2	0	:	3	1	0	0	3	1	:	6	0	U-N-N-N-N-N
