Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	5	0	0	15	:	1	14	15	3	0	0	12	:	1	9	2	0	0	3	:	0	6	S-S-S-S-S
2	Dortmund	4	0	1	16	:	4	12	12	3	0	0	11	:	2	9	1	0	1	5	:	2	3	S-S-S-N-S
3	Köln	3	2	0	9	:	2	7	11	2	1	0	6	:	1	7	1	1	0	3	:	1	4	U-S-S-U-S
4	M'gladbach	3	1	1	10	:	6	4	10	3	0	0	8	:	2	9	0	1	1	2	:	4	1	S-U-S-N-S
5	Frankfurt	3	1	1	8	:	5	3	10	2	1	0	6	:	4	7	1	0	1	2	:	1	3	U-S-S-N-S
6	Hertha	3	1	1	9	:	7	2	10	2	0	0	4	:	1	6	1	1	1	5	:	6	4	U-N-S-S-S
7	Leipzig	2	3	0	9	:	4	5	9	1	1	0	2	:	1	4	1	2	0	7	:	3	5	U-U-S-S-U
8	Mainz	2	1	2	12	:	11	1	7	0	1	1	6	:	7	1	2	0	1	6	:	4	6	N-S-S-U-N
9	Hoffenheim	1	4	0	9	:	8	1	7	1	2	0	4	:	3	5	0	2	0	5	:	5	2	S-U-U-U-U
10	Leverkusen	2	1	2	8	:	7	1	7	1	1	0	3	:	1	4	1	0	2	5	:	6	3	S-U-N-S-N
11	Augsburg	2	1	2	4	:	6	-2	7	1	0	2	2	:	5	3	1	1	0	2	:	1	4	S-U-N-S-N
12	Freiburg	2	0	3	6	:	9	-3	6	2	0	0	4	:	1	6	0	0	3	2	:	8	0	N-S-N-S-N
13	Wolfsburg	1	2	2	4	:	7	-3	5	0	1	1	1	:	5	1	1	1	1	3	:	2	4	N-N-U-U-S
14	Darmstadt	1	1	3	2	:	10	-8	4	1	1	0	2	:	1	4	0	0	3	0	:	9	0	N-U-N-S-N
15	Bremen	1	0	4	5	:	15	-10	3	1	0	2	4	:	5	3	0	0	2	1	:	10	0	S-N-N-N-N
16	Hamburg	0	1	4	2	:	10	-8	1	0	1	2	1	:	6	1	0	0	2	1	:	4	0	N-N-N-N-U
17	Ingolstadt	0	1	4	2	:	10	-8	1	0	0	2	0	:	4	0	0	1	2	2	:	6	1	N-N-N-N-U
18	Schalke	0	0	5	2	:	10	-8	0	0	0	2	1	:	5	0	0	0	3	1	:	5	0	N-N-N-N-N
