Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	4	0	0	14	:	1	13	12	3	0	0	12	:	1	9	1	0	0	2	:	0	3	S-S-S-S
2	Köln	3	1	0	8	:	1	7	10	2	0	0	5	:	0	6	1	1	0	3	:	1	4	S-S-U-S
3	Dortmund	3	0	1	13	:	3	10	9	2	0	0	8	:	1	6	1	0	1	5	:	2	3	S-S-N-S
4	Frankfurt	3	0	1	5	:	2	3	9	2	0	0	3	:	1	6	1	0	1	2	:	1	3	S-S-N-S
5	Hertha	3	0	1	6	:	4	2	9	2	0	0	4	:	1	6	1	0	1	2	:	3	3	N-S-S-S
6	Leipzig	2	2	0	8	:	3	5	8	1	1	0	2	:	1	4	1	1	0	6	:	2	4	U-S-S-U
7	Mainz	2	1	1	10	:	8	2	7	0	1	0	4	:	4	1	2	0	1	6	:	4	6	S-S-U-N
8	M'gladbach	2	1	1	8	:	6	2	7	2	0	0	6	:	2	6	0	1	1	2	:	4	1	U-S-N-S
9	Freiburg	2	0	2	5	:	6	-1	6	2	0	0	4	:	1	6	0	0	2	1	:	5	0	S-N-S-N
10	Wolfsburg	1	2	1	3	:	5	-2	5	0	1	1	1	:	5	1	1	1	0	2	:	0	4	N-U-U-S
11	Hoffenheim	0	4	0	7	:	7	0	4	0	2	0	2	:	2	2	0	2	0	5	:	5	2	U-U-U-U
12	Leverkusen	1	1	2	5	:	5	0	4	1	1	0	3	:	1	4	0	0	2	2	:	4	0	U-N-S-N
13	Augsburg	1	1	2	3	:	6	-3	4	0	0	2	1	:	5	0	1	1	0	2	:	1	4	U-N-S-N
14	Darmstadt	1	1	2	2	:	9	-7	4	1	1	0	2	:	1	4	0	0	2	0	:	8	0	U-N-S-N
15	Ingolstadt	0	1	3	2	:	8	-6	1	0	0	2	0	:	4	0	0	1	1	2	:	4	1	N-N-N-U
16	Hamburg	0	1	3	2	:	9	-7	1	0	1	1	1	:	5	1	0	0	2	1	:	4	0	N-N-N-U
17	Schalke	0	0	4	1	:	8	-7	0	0	0	2	1	:	5	0	0	0	2	0	:	3	0	N-N-N-N
18	Bremen	0	0	4	3	:	14	-11	0	0	0	2	2	:	4	0	0	0	2	1	:	10	0	N-N-N-N
