Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Leipzig	6	0	0	17	:	6	11	18	3	0	0	8	:	3	9	3	0	0	9	:	3	9	S-S-S-S-S-S
2	Frankfurt	4	2	0	9	:	3	6	14	2	0	0	3	:	1	6	2	2	0	6	:	2	8	U-S-S-S-U-S
3	Schalke	4	1	1	11	:	4	7	13	3	0	0	9	:	2	9	1	1	1	2	:	2	4	N-S-S-S-U-S
4	B. München	4	1	1	11	:	5	6	13	2	1	0	5	:	2	7	2	0	1	6	:	3	6	S-S-N-U-S-S
5	Hertha	4	1	1	10	:	5	5	13	3	0	0	7	:	2	9	1	1	1	3	:	3	4	S-S-U-S-N-S
6	Hoffenheim	3	3	0	12	:	4	8	12	2	1	0	7	:	2	7	1	2	0	5	:	2	5	S-U-U-U-S-S
7	Dortmund	3	2	1	14	:	8	6	11	2	1	0	5	:	1	7	1	1	1	9	:	7	4	S-N-S-S-U-U
8	Köln	2	1	3	6	:	8	-2	7	1	1	0	3	:	0	4	1	0	3	3	:	8	3	N-U-S-N-S-N
9	Leverkusen	2	1	3	9	:	12	-3	7	1	1	2	6	:	9	4	1	0	1	3	:	3	3	U-N-N-S-S-N
10	Freiburg	2	1	3	9	:	14	-5	7	1	0	2	3	:	8	3	1	1	1	6	:	6	4	U-N-N-N-S-S
11	Augsburg	1	3	2	5	:	6	-1	6	0	2	1	2	:	4	2	1	1	1	3	:	2	4	U-U-U-S-N-N
12	Mainz	2	0	4	9	:	13	-4	6	2	0	1	7	:	5	6	0	0	3	2	:	8	0	N-N-S-N-S-N
13	Ingolstadt	1	2	3	6	:	10	-4	5	0	2	1	4	:	6	2	1	0	2	2	:	4	3	N-U-S-N-N-U
14	Hamburg	1	2	3	8	:	15	-7	5	0	1	2	4	:	10	1	1	1	1	4	:	5	4	S-U-U-N-N-N
15	Wolfsburg	1	1	4	8	:	10	-2	4	0	0	3	3	:	6	0	1	1	1	5	:	4	4	N-U-N-S-N-N
16	Bremen	1	1	4	8	:	14	-6	4	1	0	2	4	:	6	3	0	1	2	4	:	8	1	S-U-N-N-N-N
17	Darmstadt	1	0	5	6	:	12	-6	3	1	0	3	3	:	6	3	0	0	2	3	:	6	0	N-N-N-N-N-S
18	M'gladbach	0	2	4	3	:	12	-9	2	0	2	1	2	:	3	2	0	0	3	1	:	9	0	N-U-N-N-U-N
