Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	5	1	0	11	:	3	8	16	1	1	0	4	:	1	4	4	0	0	7	:	2	12	S-U-S-S-S-S
2	Wolfsburg	4	0	2	7	:	5	2	12	3	0	1	5	:	3	9	1	0	1	2	:	2	3	S-N-N-S-S-S
3	M'gladbach	3	1	2	8	:	5	3	10	1	0	1	4	:	2	3	2	1	1	4	:	3	7	S-S-S-U-N-N
4	Freiburg	3	1	2	8	:	9	-1	10	2	0	1	5	:	4	6	1	1	1	3	:	5	4	S-N-S-N-S-U
5	Augsburg	3	1	2	7	:	8	-1	10	2	0	1	4	:	4	6	1	1	1	3	:	4	4	N-S-S-N-U-S
6	Köln	2	3	1	10	:	5	5	9	1	1	0	2	:	1	4	1	2	1	8	:	4	5	N-S-S-U-U-U
7	Dortmund	2	3	1	8	:	7	1	9	1	1	0	2	:	1	4	1	2	1	6	:	6	5	N-S-U-S-U-U
8	Hamburg	3	0	3	8	:	8	0	9	2	0	0	3	:	1	6	1	0	3	5	:	7	3	S-S-N-N-S-N
9	Leipzig	3	0	3	7	:	8	-1	9	3	0	1	7	:	4	9	0	0	2	0	:	4	0	N-N-S-S-N-S
10	Frankfurt	3	0	3	6	:	7	-1	9	2	0	0	5	:	0	6	1	0	3	1	:	7	3	N-S-S-N-S-N
11	Hoffenheim	2	2	2	11	:	7	4	8	1	2	0	7	:	3	5	1	0	2	4	:	4	3	N-S-N-S-U-U
12	Schalke	2	2	2	6	:	5	1	8	2	1	1	4	:	2	7	0	1	1	2	:	3	1	S-U-N-S-N-U
13	Mainz	2	2	2	6	:	9	-3	8	2	2	0	6	:	2	8	0	0	2	0	:	7	0	S-N-U-U-N-S
14	Leverkusen	2	1	3	10	:	8	2	7	2	0	2	9	:	6	6	0	1	1	1	:	2	1	S-N-N-S-U-N
15	Ingolstadt	2	0	4	6	:	8	-2	6	1	0	2	4	:	5	3	1	0	2	2	:	3	3	N-N-S-N-N-S
16	Hertha	2	0	4	5	:	9	-4	6	2	0	0	3	:	0	6	0	0	4	2	:	9	0	N-S-N-N-S-N
17	Darmstadt	1	1	4	3	:	12	-9	4	1	1	2	3	:	8	4	0	0	2	0	:	4	0	S-N-N-U-N-N
18	Bremen	0	2	4	6	:	10	-4	2	0	1	3	3	:	6	1	0	1	1	3	:	4	1	N-N-N-N-U-U
