Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Leipzig	5	1	0	12	:	4	8	16	3	0	0	8	:	3	9	2	1	0	4	:	1	7	S-S-S-S-S-U
2	Hoffenheim	5	1	0	11	:	4	7	16	3	0	0	5	:	2	9	2	1	0	6	:	2	7	U-S-S-S-S-S
3	B. München	3	3	0	10	:	5	5	12	1	2	0	4	:	2	5	2	1	0	6	:	3	7	U-S-S-U-U-S
4	Leverkusen	4	0	2	11	:	10	1	12	2	0	1	5	:	5	6	2	0	1	6	:	5	6	S-S-N-N-S-S
5	Schalke	3	2	1	12	:	4	8	11	3	0	0	10	:	1	9	0	2	1	2	:	3	2	S-U-S-U-S-N
6	Hertha	3	2	1	11	:	6	5	11	3	0	0	7	:	1	9	0	2	1	4	:	5	2	S-N-S-U-S-U
7	Dortmund	2	3	1	12	:	9	3	9	1	2	0	4	:	2	5	1	1	1	8	:	7	4	S-U-U-U-N-S
8	Frankfurt	2	3	1	9	:	6	3	9	1	2	0	6	:	5	5	1	1	1	3	:	1	4	S-U-S-U-N-U
9	Freiburg	3	0	3	8	:	10	-2	9	2	0	1	3	:	4	6	1	0	2	5	:	6	3	N-S-S-N-S-N
10	Köln	2	2	2	8	:	6	2	8	2	1	0	6	:	2	7	0	1	2	2	:	4	1	N-S-N-S-U-U
11	Augsburg	2	1	3	7	:	8	-1	7	1	1	1	3	:	4	4	1	0	2	4	:	4	3	S-N-N-U-N-S
12	Mainz	2	1	3	7	:	10	-3	7	2	0	1	6	:	4	6	0	1	2	1	:	6	1	N-S-N-S-U-N
13	Bremen	2	1	3	9	:	13	-4	7	2	0	1	5	:	5	6	0	1	2	4	:	8	1	N-N-N-S-U-S
14	M'gladbach	1	2	3	2	:	9	-7	5	1	2	0	2	:	0	5	0	0	3	0	:	9	0	N-U-N-U-N-S
15	Wolfsburg	1	1	4	6	:	8	-2	4	0	1	2	1	:	3	1	1	0	2	5	:	5	3	S-N-N-N-U-N
16	Darmstadt	1	1	4	8	:	11	-3	4	1	1	1	5	:	5	4	0	0	3	3	:	6	0	N-N-S-N-U-N
17	Ingolstadt	0	1	5	5	:	13	-8	1	0	1	2	4	:	7	1	0	0	3	1	:	6	0	N-N-U-N-N-N
18	Hamburg	0	1	5	2	:	14	-12	1	0	0	3	2	:	9	0	0	1	2	0	:	5	1	N-N-N-U-N-N
