Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Bremen	5	1	0	16	:	4	12	16	3	0	0	8	:	0	9	2	1	0	8	:	4	7	S-S-S-U-S-S
2	B. München	5	0	1	21	:	1	20	15	3	0	0	17	:	0	9	2	0	1	4	:	1	6	N-S-S-S-S-S
3	Hoffenheim	4	2	0	12	:	5	7	14	3	0	0	7	:	2	9	1	2	0	5	:	3	5	S-S-S-U-S-U
4	Dortmund	4	1	1	15	:	5	10	13	3	0	0	10	:	2	9	1	1	1	5	:	3	4	S-U-S-N-S-S
5	Leipzig	3	1	2	12	:	9	3	10	2	0	1	7	:	2	6	1	1	1	5	:	7	4	S-S-N-N-U-S
6	M'gladbach	3	1	2	8	:	5	3	10	2	0	1	5	:	3	6	1	1	1	3	:	2	4	S-U-N-N-S-S
7	Hamburg	3	1	2	5	:	13	-8	10	3	0	0	5	:	2	9	0	1	2	0	:	11	1	N-S-U-S-S-N
8	Wolfsburg	2	2	2	7	:	7	0	8	1	0	2	2	:	3	3	1	2	0	5	:	4	5	N-U-S-S-U-N
9	Schalke	2	2	2	8	:	9	-1	8	1	2	0	5	:	2	5	1	0	2	3	:	7	3	N-U-S-S-N-U
10	Freiburg	2	2	2	7	:	11	-4	8	0	1	2	3	:	9	1	2	1	0	4	:	2	7	S-N-U-U-S-N
11	Köln	2	1	3	9	:	12	-3	7	2	0	1	5	:	5	6	0	1	2	4	:	7	1	S-N-S-U-N-N
12	Ingolstadt	2	1	3	9	:	13	-4	7	1	1	1	4	:	5	4	1	0	2	5	:	8	3	S-S-N-U-N-N
13	Hertha	2	0	4	7	:	10	-3	6	2	0	1	5	:	4	6	0	0	3	2	:	6	0	N-N-N-S-N-S
14	Leverkusen	1	2	3	8	:	13	-5	5	0	2	1	4	:	6	2	1	0	2	4	:	7	3	S-U-N-U-N-N
15	Augsburg	1	2	3	7	:	16	-9	5	0	2	1	5	:	6	2	1	0	2	2	:	10	3	N-N-U-N-U-S
16	Mainz	1	1	4	7	:	9	-2	4	0	1	2	3	:	5	1	1	0	2	4	:	4	3	N-N-N-N-U-S
17	Darmstadt	1	0	5	3	:	12	-9	3	1	0	2	3	:	5	3	0	0	3	0	:	7	0	N-N-N-S-N-N
18	Frankfurt	0	2	4	1	:	8	-7	2	0	2	1	1	:	2	2	0	0	3	0	:	6	0	N-U-U-N-N-N
