Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Bremen	4	2	0	16	:	6	10	14	3	0	0	8	:	1	9	1	2	0	8	:	5	5	S-U-S-S-S-U
2	B. München	4	1	1	14	:	2	12	13	3	0	0	13	:	1	9	1	1	1	1	:	1	4	U-S-N-S-S-S
3	Hoffenheim	4	1	1	12	:	7	5	13	3	0	0	7	:	3	9	1	1	1	5	:	4	4	S-N-S-S-S-U
4	Leipzig	4	0	2	12	:	6	6	12	3	0	1	9	:	1	9	1	0	1	3	:	5	3	S-S-S-S-N-N
5	Schalke	3	1	2	10	:	7	3	10	2	1	0	8	:	2	7	1	0	2	2	:	5	3	N-S-N-U-S-S
6	Dortmund	3	1	2	10	:	8	2	10	3	0	0	7	:	1	9	0	1	2	3	:	7	1	S-N-S-U-S-N
7	Wolfsburg	3	1	2	9	:	8	1	10	2	0	1	4	:	1	6	1	1	1	5	:	7	4	S-N-N-U-S-S
8	Ingolstadt	3	1	2	10	:	11	-1	10	2	1	0	7	:	5	7	1	0	2	3	:	6	3	N-S-S-S-N-U
9	Hamburg	3	1	2	7	:	8	-1	10	3	0	0	6	:	3	9	0	1	2	1	:	5	1	N-S-N-S-U-S
10	Freiburg	2	2	2	6	:	11	-5	8	1	1	1	4	:	6	4	1	1	1	2	:	5	4	N-S-S-N-U-U
11	Köln	2	1	3	11	:	11	0	7	2	0	1	7	:	5	6	0	1	2	4	:	6	1	N-N-S-N-S-U
12	M'gladbach	2	1	3	8	:	10	-2	7	1	0	1	1	:	1	3	1	1	2	7	:	9	4	N-S-S-U-N-N
13	Leverkusen	1	3	2	6	:	6	0	6	0	3	0	4	:	4	3	1	0	2	2	:	2	3	U-N-S-U-N-U
14	Hertha	2	0	4	7	:	10	-3	6	2	0	1	5	:	4	6	0	0	3	2	:	6	0	N-S-N-N-N-S
15	Darmstadt	2	0	4	6	:	12	-6	6	2	0	1	4	:	4	6	0	0	3	2	:	8	0	S-N-N-N-N-S
16	Augsburg	1	1	4	5	:	16	-11	4	1	1	1	5	:	5	4	0	0	3	0	:	11	0	S-N-N-N-U-N
17	Mainz	1	0	5	5	:	9	-4	3	1	0	2	3	:	4	3	0	0	3	2	:	5	0	S-N-N-N-N-N
18	Frankfurt	0	3	3	3	:	9	-6	3	0	3	0	2	:	2	3	0	0	3	1	:	7	0	N-U-N-U-U-N
