Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Leipzig	6	0	0	16	:	5	11	18	2	0	0	6	:	2	6	4	0	0	10	:	3	12	S-S-S-S-S-S
2	Schalke	4	2	0	11	:	3	8	14	3	0	0	9	:	2	9	1	2	0	2	:	1	5	S-S-S-U-S-U
3	Frankfurt	4	2	0	10	:	4	6	14	2	1	0	5	:	3	7	2	1	0	5	:	1	7	S-S-S-U-S-U
4	Hoffenheim	3	3	0	10	:	5	5	12	2	1	0	5	:	3	7	1	2	0	5	:	2	5	U-U-U-S-S-S
5	B. München	3	2	1	10	:	6	4	11	2	1	0	5	:	2	7	1	1	1	5	:	4	4	S-N-U-S-S-U
6	Hertha	3	2	1	8	:	4	4	11	3	0	0	7	:	2	9	0	2	1	1	:	2	2	S-U-S-N-S-U
7	Köln	3	1	2	8	:	5	3	10	2	1	0	5	:	1	7	1	0	2	3	:	4	3	U-S-N-S-N-S
8	Dortmund	2	3	1	11	:	8	3	9	1	2	0	2	:	1	5	1	1	1	9	:	7	4	N-S-S-U-U-U
9	Mainz	3	0	3	10	:	11	-1	9	3	0	0	8	:	3	9	0	0	3	2	:	8	0	N-S-N-S-N-S
10	Augsburg	1	3	2	5	:	6	-1	6	0	2	1	2	:	4	2	1	1	1	3	:	2	4	U-U-S-N-N-U
11	Leverkusen	2	0	4	9	:	13	-4	6	1	0	2	5	:	8	3	1	0	2	4	:	5	3	N-N-S-S-N-N
12	Freiburg	2	0	4	9	:	15	-6	6	1	0	2	3	:	8	3	1	0	2	6	:	7	3	N-N-N-S-S-N
13	Ingolstadt	1	2	3	6	:	10	-4	5	0	2	1	4	:	6	2	1	0	2	2	:	4	3	U-S-N-N-U-N
14	Wolfsburg	1	1	4	6	:	8	-2	4	0	0	3	1	:	4	0	1	1	1	5	:	4	4	U-N-S-N-N-N
15	Bremen	1	1	4	8	:	14	-6	4	1	0	2	4	:	6	3	0	1	2	4	:	8	1	U-N-N-N-N-S
16	Darmstadt	1	0	5	7	:	12	-5	3	1	0	2	3	:	4	3	0	0	3	4	:	8	0	N-N-N-N-S-N
17	M'gladbach	0	3	3	2	:	8	-6	3	0	3	1	2	:	3	3	0	0	2	0	:	5	0	U-N-N-U-N-U
18	Hamburg	0	3	3	6	:	15	-9	3	0	1	2	4	:	10	1	0	2	1	2	:	5	2	U-U-N-N-N-U
