Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	4	2	0	11	:	4	7	14	1	1	0	4	:	1	4	3	1	0	7	:	3	10	U-S-U-S-S-S
2	Dortmund	3	2	1	9	:	5	4	11	2	1	0	5	:	1	7	1	1	1	4	:	4	4	S-N-S-U-S-U
3	Hoffenheim	3	1	2	11	:	5	6	10	2	1	0	7	:	1	7	1	0	2	4	:	4	3	S-N-S-N-S-U
4	Leverkusen	3	1	2	12	:	7	5	10	2	0	1	8	:	4	6	1	1	1	4	:	3	4	S-S-N-N-S-U
5	M'gladbach	3	1	2	9	:	6	3	10	1	0	2	5	:	4	3	2	1	0	4	:	2	7	N-S-S-S-U-N
6	Hamburg	3	1	2	9	:	7	2	10	2	1	0	5	:	3	7	1	0	2	4	:	4	3	U-S-S-N-N-S
7	Freiburg	3	1	2	9	:	10	-1	10	2	0	1	5	:	4	6	1	1	1	4	:	6	4	U-S-N-S-N-S
8	Köln	2	3	1	10	:	5	5	9	1	2	0	3	:	2	5	1	1	1	7	:	3	4	U-N-S-S-U-U
9	Leipzig	3	0	3	7	:	9	-2	9	2	0	1	5	:	4	6	1	0	2	2	:	5	3	S-N-N-S-S-N
10	Frankfurt	3	0	3	6	:	8	-2	9	2	0	1	5	:	2	6	1	0	2	1	:	6	3	N-N-S-S-N-S
11	Wolfsburg	3	0	3	6	:	8	-2	9	2	0	1	4	:	3	6	1	0	2	2	:	5	3	N-S-N-N-S-S
12	Schalke	2	2	2	6	:	5	1	8	2	0	1	3	:	1	6	0	2	1	3	:	4	2	U-S-U-N-S-N
13	Hertha	2	1	3	6	:	8	-2	7	2	1	0	4	:	1	7	0	0	3	2	:	7	0	U-N-S-N-N-S
14	Augsburg	2	1	3	7	:	11	-4	7	1	0	2	4	:	7	3	1	1	1	3	:	4	4	N-N-S-S-N-U
15	Ingolstadt	2	0	4	6	:	7	-1	6	1	0	2	4	:	5	3	1	0	2	2	:	2	3	S-N-N-S-N-N
16	Mainz	1	2	3	3	:	10	-7	5	1	2	1	3	:	3	5	0	0	2	0	:	7	0	N-S-N-U-U-N
17	Bremen	1	1	4	7	:	9	-2	4	0	0	3	2	:	5	0	1	1	1	5	:	4	4	S-N-N-N-N-U
18	Darmstadt	1	1	4	3	:	13	-10	4	1	1	1	3	:	7	4	0	0	3	0	:	6	0	N-S-N-N-U-N
