Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	2	0	0	8	:	0	8	6	1	0	0	6	:	0	3	1	0	0	2	:	0	3	S-S
2	Hertha	2	0	0	4	:	1	3	6	1	0	0	2	:	1	3	1	0	0	2	:	0	3	S-S
3	Köln	1	1	0	2	:	0	2	4	1	0	0	2	:	0	3	0	1	0	0	:	0	1	U-S
4	Wolfsburg	1	1	0	2	:	0	2	4	0	1	0	0	:	0	1	1	0	0	2	:	0	3	U-S
5	Leipzig	1	1	0	3	:	2	1	4	1	0	0	1	:	0	3	0	1	0	2	:	2	1	S-U
6	Freiburg	1	0	1	4	:	3	1	3	1	0	0	3	:	1	3	0	0	1	1	:	2	0	S-N
7	Leverkusen	1	0	1	4	:	3	1	3	1	0	0	3	:	1	3	0	0	1	1	:	2	0	S-N
8	Dortmund	1	0	1	2	:	2	0	3	1	0	0	2	:	1	3	0	0	1	0	:	1	0	N-S
9	Frankfurt	1	0	1	1	:	1	0	3	1	0	0	1	:	0	3	0	0	1	0	:	1	0	N-S
10	M'gladbach	1	0	1	3	:	4	-1	3	1	0	0	2	:	1	3	0	0	1	1	:	3	0	N-S
11	Augsburg	1	0	1	2	:	3	-1	3	0	0	1	0	:	2	0	1	0	0	2	:	1	3	S-N
12	Darmstadt	1	0	1	1	:	2	-1	3	1	0	0	1	:	0	3	0	0	1	0	:	2	0	S-N
13	Hoffenheim	0	2	0	6	:	6	0	2	0	1	0	2	:	2	1	0	1	0	4	:	4	1	U-U
14	Mainz	0	1	1	5	:	6	-1	1	0	1	0	4	:	4	1	0	0	1	1	:	2	0	U-N
15	Hamburg	0	1	1	2	:	4	-2	1	0	1	0	1	:	1	1	0	0	1	1	:	3	0	N-U
16	Ingolstadt	0	1	1	1	:	3	-2	1	0	0	1	0	:	2	0	0	1	0	1	:	1	1	N-U
17	Schalke	0	0	2	0	:	3	-3	0	0	0	1	0	:	2	0	0	0	1	0	:	1	0	N-N
18	Bremen	0	0	2	1	:	8	-7	0	0	0	1	1	:	2	0	0	0	1	0	:	6	0	N-N
