Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Dortmund	5	1	0	13	:	4	9	16	3	1	0	8	:	3	10	2	0	0	5	:	1	6	S-S-S-U-S-S
2	B. München	4	1	1	10	:	2	8	13	2	0	1	7	:	2	6	2	1	0	3	:	0	7	S-S-S-U-N-S
3	Hertha	4	0	2	7	:	8	-1	12	3	0	0	6	:	1	9	1	0	2	1	:	7	3	N-S-S-N-S-S
4	Mainz	3	2	1	10	:	7	3	11	2	1	0	7	:	3	7	1	1	1	3	:	4	4	S-U-N-U-S-S
5	M'gladbach	3	1	2	16	:	6	10	10	3	0	0	12	:	0	9	0	1	2	4	:	6	1	S-N-S-N-S-U
6	Leverkusen	3	1	2	11	:	10	1	10	2	0	1	5	:	4	6	1	1	1	6	:	6	4	S-S-S-U-N-N
7	Schalke	3	1	2	8	:	9	-1	10	2	0	0	5	:	3	6	1	1	2	3	:	6	4	N-S-N-S-S-U
8	Hoffenheim	3	1	2	9	:	11	-2	10	2	1	0	4	:	2	7	1	0	2	5	:	9	3	U-S-S-N-S-N
9	Bremen	2	2	2	13	:	13	0	8	1	2	0	7	:	4	5	1	0	2	6	:	9	3	N-U-N-S-S-U
10	Ingolstadt	1	4	1	10	:	8	2	7	1	2	0	7	:	4	5	0	2	1	3	:	4	2	S-N-U-U-U-U
11	Hamburg	2	1	3	9	:	8	1	7	1	1	1	4	:	4	4	1	0	2	5	:	4	3	S-N-N-S-N-U
12	Wolfsburg	2	1	3	7	:	8	-1	7	1	1	1	3	:	4	4	1	0	2	4	:	4	3	N-U-N-S-S-N
13	Darmstadt	0	5	1	7	:	9	-2	5	0	2	1	4	:	6	2	0	3	0	3	:	3	3	U-U-U-U-N-U
14	Köln	1	2	3	5	:	7	-2	5	0	0	3	1	:	5	0	1	2	0	4	:	2	5	U-N-S-N-U-N
15	Stuttgart	1	2	3	11	:	14	-3	5	1	0	2	6	:	5	3	0	2	1	5	:	9	2	U-N-U-S-N-N
16	Frankfurt	1	2	3	2	:	7	-5	5	1	2	0	2	:	1	5	0	0	3	0	:	6	0	N-S-N-U-N-U
17	Augsburg	0	3	3	11	:	16	-5	3	0	2	1	6	:	8	2	0	1	2	5	:	8	1	N-N-U-U-N-U
18	Hannover	1	0	5	3	:	15	-12	3	0	0	3	0	:	9	0	1	0	2	3	:	6	3	N-N-N-N-N-S
