Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Stuttgart	5	1	0	15	:	6	9	16	3	0	0	7	:	2	9	2	1	0	8	:	4	7	U-S-S-S-S-S
2	B. München	5	1	0	11	:	3	8	16	2	0	0	5	:	1	6	3	1	0	6	:	2	10	S-S-U-S-S-S
3	Dortmund	4	1	1	8	:	3	5	13	2	0	0	3	:	0	6	2	1	1	5	:	3	7	S-S-U-S-S-N
4	Leverkusen	3	2	1	7	:	3	4	11	1	1	1	3	:	1	4	2	1	0	4	:	2	7	N-S-U-S-U-S
5	Schalke	3	1	2	9	:	6	3	10	2	1	1	6	:	4	7	1	0	1	3	:	2	3	U-N-S-S-N-S
6	M'gladbach	3	0	3	12	:	10	2	9	3	0	1	10	:	6	9	0	0	2	2	:	4	0	S-N-S-N-N-S
7	Mainz	3	0	3	6	:	7	-1	9	2	0	0	3	:	1	6	1	0	3	3	:	6	3	N-S-S-S-N-N
8	Ingolstadt	3	0	3	5	:	6	-1	9	3	0	1	5	:	2	9	0	0	2	0	:	4	0	S-N-S-N-S-N
9	Köln	2	2	2	8	:	8	0	8	2	0	1	6	:	5	6	0	2	1	2	:	3	2	N-S-U-U-N-S
10	Augsburg	2	2	2	4	:	5	-1	8	0	1	1	1	:	3	1	2	1	1	3	:	2	7	S-N-N-U-U-S
11	Frankfurt	2	2	2	8	:	10	-2	8	2	1	1	7	:	7	7	0	1	1	1	:	3	1	U-N-N-U-S-S
12	Hertha	1	4	1	6	:	6	0	7	1	3	0	3	:	1	6	0	1	1	3	:	5	1	U-N-U-U-U-S
13	Darmstadt	2	0	4	8	:	11	-3	6	0	0	2	1	:	4	0	2	0	2	7	:	7	6	N-N-S-N-S-N
14	Hamburg	1	2	3	6	:	8	-2	5	1	1	2	5	:	6	4	0	1	1	1	:	2	1	U-S-U-N-N-N
15	Wolfsburg	1	2	3	7	:	11	-4	5	1	1	0	3	:	1	4	0	1	3	4	:	10	1	U-S-N-U-N-N
16	Hoffenheim	1	2	3	5	:	9	-4	5	1	1	1	4	:	5	4	0	1	2	1	:	4	1	S-U-N-N-U-N
17	Bremen	1	2	3	9	:	14	-5	5	0	2	0	4	:	4	2	1	0	3	5	:	10	3	N-U-N-U-S-N
18	Hannover	0	0	6	1	:	9	-8	0	0	0	4	1	:	5	0	0	0	2	0	:	4	0	N-N-N-N-N-N
