Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Stuttgart	4	2	0	13	:	6	7	14	2	1	0	6	:	3	7	2	1	0	7	:	3	7	S-S-S-S-U-U
2	Dortmund	4	1	1	12	:	5	7	13	2	0	0	6	:	1	6	2	1	1	6	:	4	7	U-S-S-N-S-S
3	B. München	4	1	1	8	:	4	4	13	2	0	0	4	:	0	6	2	1	1	4	:	4	7	U-S-S-S-S-N
4	Hertha	3	3	0	11	:	4	7	12	2	2	0	4	:	1	8	1	1	0	7	:	3	4	U-U-U-S-S-S
5	Schalke	4	0	2	11	:	6	5	12	3	0	1	8	:	4	9	1	0	1	3	:	2	3	S-S-N-S-N-S
6	Leverkusen	3	2	1	11	:	3	8	11	2	1	0	8	:	0	7	1	1	1	3	:	3	4	U-S-U-S-S-N
7	Augsburg	3	2	1	5	:	3	2	11	1	1	0	2	:	1	4	2	1	1	3	:	2	7	N-U-U-S-S-S
8	Mainz	3	1	2	5	:	4	1	10	1	1	0	1	:	0	4	2	0	2	4	:	4	6	S-S-N-N-U-S
9	M'gladbach	3	0	3	12	:	13	-1	9	3	0	1	12	:	7	9	0	0	2	0	:	6	0	S-N-N-S-N-S
10	Darmstadt	3	0	3	7	:	10	-3	9	0	0	2	0	:	6	0	3	0	1	7	:	4	9	S-N-S-N-N-S
11	Ingolstadt	2	1	3	4	:	7	-3	7	2	1	1	4	:	3	7	0	0	2	0	:	4	0	S-N-S-N-N-U
12	Frankfurt	2	1	3	8	:	12	-4	7	2	0	2	7	:	8	6	0	1	1	1	:	4	1	N-U-S-S-N-N
13	Köln	1	3	2	6	:	8	-2	6	1	0	2	3	:	5	3	0	3	0	3	:	3	3	U-U-N-S-U-N
14	Bremen	1	3	2	10	:	13	-3	6	0	2	0	4	:	4	2	1	1	2	6	:	9	4	N-U-S-N-U-U
15	Hoffenheim	1	2	3	3	:	7	-4	5	1	1	1	2	:	3	4	0	1	2	1	:	4	1	N-N-U-N-S-U
16	Hamburg	0	2	4	5	:	10	-5	2	0	1	3	3	:	7	1	0	1	1	2	:	3	1	U-N-N-N-U-N
17	Wolfsburg	0	2	4	6	:	13	-7	2	0	2	1	3	:	4	2	0	0	3	3	:	9	0	N-U-N-N-U-N
18	Hannover	0	0	6	2	:	11	-9	0	0	0	3	1	:	4	0	0	0	3	1	:	7	0	N-N-N-N-N-N
