Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	M'gladbach	6	0	0	21	:	6	15	18	3	0	0	9	:	3	9	3	0	0	12	:	3	9	S-S-S-S-S-S
2	B. München	5	1	0	18	:	2	16	16	3	0	0	14	:	2	9	2	1	0	4	:	0	7	U-S-S-S-S-S
3	Dortmund	3	2	1	14	:	10	4	11	1	1	0	7	:	3	4	2	1	1	7	:	7	7	S-S-S-N-U-U
4	Leverkusen	3	2	1	10	:	6	4	11	2	1	0	6	:	4	7	1	1	1	4	:	2	4	N-S-U-U-S-S
5	Stuttgart	3	1	2	12	:	10	2	10	2	0	1	4	:	3	6	1	1	1	8	:	7	4	S-N-S-U-N-S
6	Hertha	3	1	2	9	:	7	2	10	2	0	1	6	:	4	6	1	1	1	3	:	3	4	N-S-N-S-U-S
7	Hannover	3	1	2	7	:	7	0	10	1	0	2	3	:	5	3	2	1	0	4	:	2	7	S-N-S-S-U-N
8	Schalke	3	1	2	7	:	8	-1	10	2	1	1	5	:	5	7	1	0	1	2	:	3	3	U-N-S-N-S-S
9	Wolfsburg	3	1	2	9	:	11	-2	10	2	1	0	7	:	4	7	1	0	2	2	:	7	3	S-S-S-N-U-N
10	Darmstadt	2	1	3	8	:	9	-1	7	1	0	2	4	:	5	3	1	1	1	4	:	4	4	N-N-S-N-U-S
11	Hamburg	2	1	3	3	:	6	-3	7	0	1	2	1	:	3	1	2	0	1	2	:	3	6	N-S-U-N-N-S
12	Hoffenheim	1	3	2	8	:	9	-1	6	0	2	1	3	:	4	2	1	1	1	5	:	5	4	U-N-N-U-S-U
13	Ingolstadt	1	2	3	4	:	5	-1	5	1	0	2	2	:	2	3	0	2	1	2	:	3	2	U-N-N-S-U-N
14	Köln	1	2	3	4	:	8	-4	5	0	2	1	1	:	2	2	1	0	2	3	:	6	3	U-N-N-S-U-N
15	Frankfurt	1	2	3	4	:	11	-7	5	0	2	1	2	:	6	2	1	0	2	2	:	5	3	U-S-N-N-U-N
16	Mainz	1	1	4	7	:	14	-7	4	0	0	3	1	:	8	0	1	1	1	6	:	6	4	U-N-N-S-N-N
17	Bremen	1	0	5	5	:	11	-6	3	0	0	3	1	:	7	0	1	0	2	4	:	4	3	N-S-N-N-N-N
18	Augsburg	0	2	4	8	:	18	-10	2	0	1	2	4	:	8	1	0	1	2	4	:	10	1	U-N-N-U-N-N
