Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	6	0	0	15	:	1	14	18	3	0	0	9	:	0	9	3	0	0	6	:	1	9	S-S-S-S-S-S
2	Leverkusen	6	0	0	14	:	2	12	18	3	0	0	7	:	0	9	3	0	0	7	:	2	9	S-S-S-S-S-S
3	Dortmund	5	1	0	16	:	5	11	16	3	0	0	8	:	2	9	2	1	0	8	:	3	7	S-S-U-S-S-S
4	Hoffenheim	4	1	1	10	:	6	4	13	2	1	0	4	:	2	7	2	0	1	6	:	4	6	N-S-S-U-S-S
5	Köln	3	1	2	10	:	7	3	10	1	0	2	4	:	4	3	2	1	0	6	:	3	7	S-S-N-U-N-S
6	Augsburg	3	1	2	10	:	10	0	10	1	0	1	2	:	3	3	2	1	1	8	:	7	7	S-S-S-N-N-U
7	M'gladbach	3	0	3	12	:	6	6	9	3	0	0	11	:	1	9	0	0	3	1	:	5	0	S-N-N-S-N-S
8	Darmstadt	2	3	1	10	:	10	0	9	1	2	0	6	:	4	5	1	1	1	4	:	6	4	N-S-S-U-U-U
9	Ingolstadt	2	2	2	10	:	9	1	8	2	2	0	9	:	5	8	0	0	2	1	:	4	0	U-N-S-S-N-U
10	Hertha	2	1	3	7	:	12	-5	7	2	1	1	6	:	5	7	0	0	2	1	:	7	0	N-N-U-N-S-S
11	Hamburg	2	0	4	7	:	10	-3	6	1	0	2	4	:	6	3	1	0	2	3	:	4	3	S-N-N-S-N-N
12	Frankfurt	2	0	4	3	:	10	-7	6	2	0	1	3	:	3	6	0	0	3	0	:	7	0	S-N-N-N-S-N
13	Mainz	1	2	3	9	:	11	-2	5	1	0	1	6	:	5	3	0	2	2	3	:	6	2	N-N-U-S-U-N
14	Hannover	1	2	3	6	:	10	-4	5	1	0	2	2	:	5	3	0	2	1	4	:	5	2	U-S-U-N-N-N
15	Bremen	1	1	4	8	:	15	-7	4	1	1	1	5	:	5	4	0	0	3	3	:	10	0	N-S-N-N-U-N
16	Schalke	1	1	4	6	:	14	-8	4	1	1	1	6	:	6	4	0	0	3	0	:	8	0	N-N-U-N-S-N
17	Wolfsburg	0	2	4	4	:	11	-7	2	0	2	1	2	:	4	2	0	0	3	2	:	7	0	N-N-U-N-U-N
18	Stuttgart	0	2	4	6	:	14	-8	2	0	0	3	1	:	8	0	0	2	1	5	:	6	2	N-N-N-U-N-U
