Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Dortmund	5	0	1	17	:	9	8	15	3	0	0	11	:	4	9	2	0	1	6	:	5	6	S-S-S-N-S-S
2	B. München	4	1	1	12	:	4	8	13	3	0	0	8	:	0	9	1	1	1	4	:	4	4	S-N-S-S-S-U
3	Mainz	3	3	0	10	:	5	5	12	2	1	0	4	:	1	7	1	2	0	6	:	4	5	U-S-S-U-S-U
4	Hertha	4	0	2	11	:	8	3	12	2	0	1	4	:	5	6	2	0	1	7	:	3	6	S-S-N-S-S-N
5	Augsburg	3	2	1	11	:	6	5	11	1	2	1	6	:	6	5	2	0	0	5	:	0	6	S-S-U-S-N-U
6	M'gladbach	3	2	1	12	:	11	1	11	2	1	0	5	:	2	7	1	1	1	7	:	9	4	N-S-U-S-U-S
7	Wolfsburg	2	2	2	10	:	6	4	8	2	1	1	10	:	4	7	0	1	1	0	:	2	1	U-N-U-S-N-S
8	Hamburg	2	2	2	10	:	9	1	8	1	0	2	5	:	6	3	1	2	0	5	:	3	5	U-N-S-S-U-N
9	Leverkusen	2	1	3	12	:	8	4	7	1	1	1	7	:	3	4	1	0	2	5	:	5	3	S-N-U-S-N-N
10	Hoffenheim	1	4	1	5	:	5	0	7	1	2	0	4	:	3	5	0	2	1	1	:	2	2	S-U-U-N-U-U
11	Köln	1	4	1	3	:	3	0	7	0	2	1	0	:	1	2	1	2	0	3	:	2	5	U-N-U-U-S-U
12	Hannover	2	0	4	9	:	10	-1	6	1	0	1	5	:	3	3	1	0	3	4	:	7	3	N-N-S-N-N-S
13	Ingolstadt	1	3	2	5	:	9	-4	6	1	1	0	4	:	2	4	0	2	2	1	:	7	2	N-U-N-S-U-U
14	Schalke	1	2	3	9	:	11	-2	5	1	1	1	5	:	5	4	0	1	2	4	:	6	1	N-S-U-N-N-U
15	Darmstadt	1	2	3	3	:	10	-7	5	0	2	1	1	:	5	2	1	0	2	2	:	5	3	N-S-U-N-U-N
16	Bremen	1	2	3	6	:	15	-9	5	0	1	2	3	:	7	1	1	1	1	3	:	8	4	U-U-N-N-S-N
17	Stuttgart	1	2	3	4	:	13	-9	5	1	1	1	3	:	5	4	0	1	2	1	:	8	1	U-U-N-N-N-S
18	Frankfurt	0	2	4	3	:	10	-7	2	0	1	2	1	:	4	1	0	1	2	2	:	6	1	N-N-N-N-U-U
