Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Stuttgart	5	1	0	14	:	5	9	16	3	0	0	7	:	2	9	2	1	0	7	:	3	7	S-S-S-S-S-U
2	B. München	5	1	0	10	:	2	8	16	2	0	0	4	:	0	6	3	1	0	6	:	2	10	S-U-S-S-S-S
3	Leverkusen	4	2	0	12	:	2	10	14	2	1	0	8	:	0	7	2	1	0	4	:	2	7	S-U-S-U-S-S
4	Dortmund	4	1	1	11	:	4	7	13	3	0	0	7	:	1	9	1	1	1	4	:	3	4	S-U-S-S-N-S
5	Mainz	3	1	2	4	:	4	0	10	2	1	0	3	:	1	7	1	0	2	1	:	3	3	S-S-S-N-N-U
6	Hertha	2	3	1	9	:	5	4	9	1	2	0	2	:	0	5	1	1	1	7	:	5	4	N-U-U-U-S-S
7	Schalke	3	0	3	9	:	7	2	9	2	0	1	5	:	3	6	1	0	2	4	:	4	3	N-S-S-N-S-N
8	Köln	2	3	1	9	:	8	1	9	2	0	1	6	:	5	6	0	3	0	3	:	3	3	S-U-U-N-S-U
9	Augsburg	2	2	2	5	:	6	-1	8	1	1	1	3	:	4	4	1	1	1	2	:	2	4	N-N-U-U-S-S
10	Frankfurt	2	1	3	9	:	14	-5	7	2	0	1	7	:	7	6	0	1	2	2	:	7	1	N-N-U-S-S-N
11	Bremen	1	3	2	10	:	13	-3	6	0	3	0	5	:	5	3	1	0	2	5	:	8	3	U-N-U-S-N-U
12	M'gladbach	2	0	4	11	:	15	-4	6	2	0	1	9	:	6	6	0	0	3	2	:	9	0	N-S-N-N-S-N
13	Darmstadt	2	0	4	7	:	12	-5	6	0	0	3	1	:	8	0	2	0	1	6	:	4	6	N-S-N-S-N-N
14	Ingolstadt	2	0	4	3	:	8	-5	6	2	0	1	3	:	2	6	0	0	3	0	:	6	0	N-S-N-S-N-N
15	Hamburg	1	2	3	7	:	9	-2	5	1	1	2	5	:	6	4	0	1	1	2	:	3	1	S-U-N-N-N-U
16	Wolfsburg	1	2	3	7	:	11	-4	5	1	2	0	4	:	2	5	0	0	3	3	:	9	0	S-N-U-N-N-U
17	Hoffenheim	1	2	3	3	:	7	-4	5	1	1	1	2	:	3	4	0	1	2	1	:	4	1	U-N-N-U-N-S
18	Hannover	0	0	6	1	:	9	-8	0	0	0	3	1	:	4	0	0	0	3	0	:	5	0	N-N-N-N-N-N
