Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Dortmund	4	0	0	15	:	3	12	12	2	0	0	7	:	1	6	2	0	0	8	:	2	6	S-S-S-S
2	B. München	4	0	0	12	:	2	10	12	3	0	0	10	:	1	9	1	0	0	2	:	1	3	S-S-S-S
3	Wolfsburg	2	2	0	6	:	2	4	8	2	0	0	5	:	1	6	0	2	0	1	:	1	2	U-S-U-S
4	Frankfurt	2	1	1	12	:	6	6	7	1	1	0	7	:	3	4	1	0	1	5	:	3	3	S-S-U-N
5	Schalke	2	1	1	6	:	5	1	7	1	1	0	3	:	2	4	1	0	1	3	:	3	3	S-N-U-S
6	Bremen	2	1	1	6	:	6	0	7	1	0	1	2	:	4	3	1	1	0	4	:	2	4	S-S-U-N
7	Hertha	2	1	1	5	:	5	0	7	1	1	0	3	:	2	4	1	0	1	2	:	3	3	S-N-U-S
8	Köln	2	1	1	8	:	9	-1	7	1	1	0	3	:	2	4	1	0	1	5	:	7	3	N-S-U-S
9	Ingolstadt	2	1	1	2	:	4	-2	7	0	1	1	0	:	4	1	2	0	0	2	:	0	6	U-S-N-S
10	Mainz	2	0	2	6	:	4	2	6	1	0	1	3	:	1	3	1	0	1	3	:	3	3	N-S-S-N
11	Darmstadt	1	3	0	4	:	3	1	6	0	2	0	2	:	2	2	1	1	0	2	:	1	4	S-U-U-U
12	Hamburg	2	0	2	7	:	9	-2	6	1	0	0	3	:	2	3	1	0	2	4	:	7	3	S-N-S-N
13	Leverkusen	2	0	2	3	:	5	-2	6	1	0	1	2	:	2	3	1	0	1	1	:	3	3	N-N-S-S
14	Augsburg	0	1	3	2	:	5	-3	1	0	0	2	0	:	2	0	0	1	1	2	:	3	1	N-N-U-N
15	Hoffenheim	0	1	3	3	:	7	-4	1	0	0	2	2	:	5	0	0	1	1	1	:	2	1	N-U-N-N
16	Hannover	0	1	3	4	:	10	-6	1	0	0	2	2	:	5	0	0	1	1	2	:	5	1	N-N-N-U
17	Stuttgart	0	0	4	5	:	12	-7	0	0	0	2	2	:	7	0	0	0	2	3	:	5	0	N-N-N-N
18	M'gladbach	0	0	4	2	:	11	-9	0	0	0	2	1	:	5	0	0	0	2	1	:	6	0	N-N-N-N
