Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	6	0	0	21	:	2	19	18	3	0	0	14	:	2	9	3	0	0	7	:	0	9	S-S-S-S-S-S
2	M'gladbach	5	0	1	17	:	6	11	15	3	0	0	9	:	3	9	2	0	1	8	:	3	6	S-S-S-S-S-N
3	Schalke	4	0	2	7	:	7	0	12	2	0	1	4	:	4	6	2	0	1	3	:	3	6	N-S-N-S-S-S
4	Dortmund	3	2	1	14	:	9	5	11	2	1	0	10	:	3	7	1	1	1	4	:	6	4	S-S-N-U-U-S
5	Leverkusen	3	2	1	9	:	7	2	11	2	1	0	6	:	4	7	1	1	1	3	:	3	4	S-U-U-S-S-N
6	Hertha	3	1	2	8	:	5	3	10	2	0	0	5	:	0	6	1	1	2	3	:	5	4	S-N-S-U-S-N
7	Wolfsburg	3	1	2	9	:	10	-1	10	2	1	0	7	:	3	7	1	0	2	2	:	7	3	S-S-N-U-N-S
8	Hamburg	2	2	2	2	:	4	-2	8	0	2	1	0	:	1	2	2	0	1	2	:	3	6	S-U-N-N-S-U
9	Ingolstadt	2	1	3	4	:	4	0	7	1	0	2	2	:	2	3	1	1	1	2	:	2	4	N-N-S-U-N-S
10	Stuttgart	2	1	3	10	:	11	-1	7	1	0	2	2	:	4	3	1	1	1	8	:	7	4	N-S-U-N-S-N
11	Darmstadt	2	1	3	8	:	10	-2	7	1	0	3	4	:	8	3	1	1	0	4	:	2	4	N-S-N-U-S-N
12	Hannover	2	1	3	5	:	8	-3	7	1	0	2	3	:	5	3	1	1	1	2	:	3	4	N-S-S-U-N-N
13	Köln	2	1	3	5	:	8	-3	7	1	1	1	2	:	2	4	1	0	2	3	:	6	3	N-N-S-U-N-S
14	Mainz	2	0	4	7	:	12	-5	6	1	0	3	4	:	9	3	1	0	1	3	:	3	3	N-N-S-N-N-S
15	Hoffenheim	1	2	3	9	:	12	-3	5	0	2	1	3	:	4	2	1	0	2	6	:	8	3	N-N-U-S-U-N
16	Frankfurt	1	2	3	4	:	11	-7	5	0	1	1	2	:	6	1	1	1	2	2	:	5	4	S-N-N-U-N-U
17	Augsburg	1	1	4	7	:	15	-8	4	1	0	2	3	:	5	3	0	1	2	4	:	10	1	N-N-U-N-N-S
18	Bremen	1	0	5	4	:	9	-5	3	0	0	3	0	:	5	0	1	0	2	4	:	4	3	S-N-N-N-N-N
