Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	5	1	0	14	:	1	13	16	3	0	0	10	:	0	9	2	1	0	4	:	1	7	S-S-S-U-S-S
2	Dortmund	5	0	1	18	:	8	10	15	3	0	0	12	:	4	9	2	0	1	6	:	4	6	S-N-S-S-S-S
3	M'gladbach	4	2	0	17	:	7	10	14	2	1	0	5	:	2	7	2	1	0	12	:	5	7	U-S-U-S-S-S
4	Wolfsburg	4	1	1	13	:	5	8	13	3	0	0	12	:	3	9	1	1	1	1	:	2	4	U-S-N-S-S-S
5	Hamburg	3	2	1	9	:	5	4	11	1	1	1	4	:	3	4	2	1	0	5	:	2	7	S-S-U-N-S-U
6	Hannover	3	0	3	10	:	8	2	9	1	0	2	6	:	5	3	2	0	1	4	:	3	6	S-N-N-S-N-S
7	Hertha	3	0	3	7	:	9	-2	9	1	0	1	2	:	4	3	2	0	2	5	:	5	6	N-S-S-N-S-N
8	Leverkusen	2	2	2	10	:	9	1	8	1	1	1	6	:	6	4	1	1	1	4	:	3	4	U-S-N-N-S-U
9	Mainz	2	2	2	8	:	9	-1	8	2	0	2	5	:	6	6	0	2	0	3	:	3	2	S-U-S-U-N-N
10	Köln	1	3	2	2	:	6	-4	6	0	2	1	0	:	1	2	1	1	1	2	:	5	4	U-U-S-U-N-N
11	Bremen	2	0	4	7	:	15	-8	6	0	0	3	2	:	7	0	2	0	1	5	:	8	6	N-N-S-N-S-N
12	Stuttgart	2	0	4	7	:	16	-9	6	2	0	1	3	:	4	6	0	0	3	4	:	12	0	N-N-N-S-N-S
13	Augsburg	1	2	3	9	:	12	-3	5	0	2	2	4	:	7	2	1	0	1	5	:	5	3	U-S-N-U-N-N
14	Darmstadt	1	2	3	4	:	7	-3	5	0	2	1	1	:	2	2	1	0	2	3	:	5	3	U-N-U-N-N-S
15	Schalke	1	2	3	8	:	12	-4	5	1	1	1	4	:	5	4	0	1	2	4	:	7	1	U-N-N-U-N-S
16	Ingolstadt	1	2	3	4	:	8	-4	5	1	0	1	3	:	2	3	0	2	2	1	:	6	2	N-S-U-U-N-N
17	Frankfurt	1	2	3	5	:	11	-6	5	0	1	2	2	:	8	1	1	1	1	3	:	3	4	N-N-U-U-S-N
18	Hoffenheim	0	3	3	5	:	9	-4	3	0	2	1	3	:	4	2	0	1	2	2	:	5	1	U-N-U-U-N-N
