Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	6	0	0	18	:	3	15	18	3	0	0	10	:	2	9	3	0	0	8	:	1	9	S-S-S-S-S-S
2	Dortmund	4	2	0	17	:	6	11	14	2	1	0	8	:	3	7	2	1	0	9	:	3	7	U-U-S-S-S-S
3	Schalke	4	1	1	7	:	5	2	13	2	1	0	5	:	2	7	2	0	1	2	:	3	6	S-S-S-S-N-U
4	Hamburg	3	1	2	8	:	5	3	10	1	1	1	3	:	3	4	2	0	1	5	:	2	6	N-S-U-S-N-S
5	Frankfurt	2	3	1	12	:	7	5	9	1	2	0	8	:	4	5	1	1	1	4	:	3	4	U-N-U-S-S-U
6	Mainz	3	0	3	9	:	8	1	9	2	0	1	6	:	4	6	1	0	2	3	:	4	3	N-N-S-N-S-S
7	Wolfsburg	2	3	1	8	:	7	1	9	2	1	0	6	:	1	7	0	2	1	2	:	6	2	U-N-S-U-S-U
8	Darmstadt	2	3	1	6	:	7	-1	9	1	1	1	2	:	4	4	1	2	0	4	:	3	5	U-S-N-S-U-U
9	Leverkusen	3	0	3	5	:	7	-2	9	1	0	1	1	:	1	3	2	0	2	4	:	6	6	S-S-N-N-N-S
10	Hertha	2	2	2	7	:	8	-1	8	2	1	0	5	:	2	7	0	1	2	2	:	6	1	U-S-N-S-N-U
11	Ingolstadt	2	2	2	3	:	6	-3	8	0	1	2	0	:	5	1	2	1	0	3	:	1	7	U-N-S-U-S-N
12	Köln	2	2	2	7	:	11	-4	8	2	2	0	5	:	3	8	0	0	2	2	:	8	0	U-N-S-N-S-U
13	Bremen	2	1	3	7	:	9	-2	7	1	0	2	2	:	5	3	1	1	1	5	:	4	4	N-N-N-S-S-U
14	M'gladbach	2	0	4	9	:	11	-2	6	1	0	2	5	:	7	3	1	0	2	4	:	4	3	S-S-N-N-N-N
15	Hoffenheim	1	2	3	7	:	10	-3	5	0	1	2	3	:	6	1	1	1	1	4	:	4	4	S-U-N-N-U-N
16	Augsburg	1	1	4	7	:	11	-4	4	1	0	2	3	:	4	3	0	1	2	4	:	7	1	N-N-S-N-N-U
17	Stuttgart	1	0	5	8	:	14	-6	3	0	0	3	2	:	8	0	1	0	2	6	:	6	3	N-S-N-N-N-N
18	Hannover	0	1	5	4	:	14	-10	1	0	0	3	3	:	8	0	0	1	2	1	:	6	1	U-N-N-N-N-N
