Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	6	0	0	20	:	3	17	18	4	0	0	15	:	2	12	2	0	0	5	:	1	6	S-S-S-S-S-S
2	Dortmund	5	1	0	19	:	4	15	16	3	0	0	10	:	1	9	2	1	0	9	:	3	7	U-S-S-S-S-S
3	Schalke	4	1	1	9	:	5	4	13	2	1	0	5	:	2	7	2	0	1	4	:	3	6	S-S-S-N-U-S
4	Wolfsburg	3	2	1	9	:	7	2	11	3	0	0	7	:	1	9	0	2	1	2	:	6	2	N-S-U-S-U-S
5	Hertha	3	1	2	7	:	7	0	10	2	1	0	5	:	2	7	1	0	2	2	:	5	3	S-N-S-N-U-S
6	Hamburg	3	1	2	8	:	9	-1	10	1	1	0	3	:	2	4	2	0	2	5	:	7	6	S-U-S-N-S-N
7	Köln	3	1	2	9	:	11	-2	10	2	1	0	4	:	2	7	1	0	2	5	:	9	3	N-S-N-S-U-S
8	Ingolstadt	3	1	2	3	:	5	-2	10	0	1	2	0	:	5	1	3	0	0	3	:	0	9	N-S-U-S-N-S
9	Mainz	3	0	3	9	:	6	3	9	2	0	1	6	:	2	6	1	0	2	3	:	4	3	N-S-N-S-S-N
10	Darmstadt	2	3	1	6	:	7	-1	9	1	2	1	4	:	6	5	1	1	0	2	:	1	4	S-N-S-U-U-U
11	Leverkusen	3	0	3	4	:	8	-4	9	2	0	1	3	:	2	6	1	0	2	1	:	6	3	S-N-N-N-S-S
12	Frankfurt	2	2	2	12	:	8	4	8	1	1	0	7	:	3	4	1	1	2	5	:	5	4	N-U-S-S-U-N
13	Bremen	2	1	3	7	:	9	-2	7	1	0	2	2	:	5	3	1	1	1	5	:	4	4	N-N-S-S-U-N
14	Augsburg	1	1	4	6	:	9	-3	4	1	0	2	2	:	2	3	0	1	2	4	:	7	1	N-S-N-N-U-N
15	Stuttgart	1	0	5	8	:	14	-6	3	0	0	3	2	:	8	0	1	0	2	6	:	6	3	S-N-N-N-N-N
16	M'gladbach	1	0	5	6	:	14	-8	3	1	0	2	5	:	7	3	0	0	3	1	:	7	0	S-N-N-N-N-N
17	Hoffenheim	0	2	4	5	:	11	-6	2	0	1	2	3	:	6	1	0	1	2	2	:	5	1	U-N-N-U-N-N
18	Hannover	0	1	5	5	:	15	-10	1	0	0	3	3	:	8	0	0	1	2	2	:	7	1	N-N-N-N-N-U
