Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	5	0	1	13	:	4	9	15	3	0	0	8	:	0	9	2	0	1	5	:	4	6	S-S-N-S-S-S
2	Hertha	5	0	1	12	:	4	8	15	3	0	0	5	:	1	9	2	0	1	7	:	3	6	S-S-S-N-S-S
3	Augsburg	4	1	1	9	:	3	6	13	1	1	1	3	:	3	4	3	0	0	6	:	0	9	S-S-S-U-S-N
4	Dortmund	4	0	2	15	:	10	5	12	3	0	0	11	:	4	9	1	0	2	4	:	6	3	N-S-S-S-N-S
5	Mainz	3	2	1	7	:	4	3	11	2	1	0	4	:	1	7	1	1	1	3	:	3	4	N-U-S-S-U-S
6	M'gladbach	3	2	1	11	:	12	-1	11	3	1	0	8	:	4	10	0	1	1	3	:	8	1	S-N-S-U-S-U
7	Leverkusen	3	1	2	12	:	6	6	10	1	1	1	7	:	3	4	2	0	1	5	:	3	6	S-S-N-U-S-N
8	Köln	2	3	1	5	:	4	1	9	1	1	1	2	:	2	4	1	2	0	3	:	2	5	S-U-N-U-U-S
9	Hamburg	2	2	2	9	:	8	1	8	1	0	2	4	:	5	3	1	2	0	5	:	3	5	N-U-N-S-S-U
10	Schalke	2	1	3	9	:	10	-1	7	2	0	1	5	:	4	6	0	1	2	4	:	6	1	S-N-S-U-N-N
11	Hoffenheim	1	3	2	5	:	6	-1	6	1	2	0	4	:	3	5	0	1	2	1	:	3	1	N-S-U-U-N-U
12	Wolfsburg	1	2	3	9	:	8	1	5	1	1	1	8	:	3	4	0	1	2	1	:	5	1	N-U-N-U-S-N
13	Ingolstadt	1	2	3	4	:	9	-5	5	1	1	1	4	:	3	4	0	1	2	0	:	6	1	N-N-U-N-S-U
14	Darmstadt	1	2	3	5	:	11	-6	5	0	2	1	1	:	5	2	1	0	2	4	:	6	3	N-N-S-U-N-U
15	Bremen	1	2	3	6	:	14	-8	5	0	1	1	2	:	4	1	1	1	2	4	:	10	4	N-U-U-N-N-S
16	Stuttgart	1	2	3	5	:	14	-9	5	1	1	1	4	:	6	4	0	1	2	1	:	8	1	S-U-U-N-N-N
17	Frankfurt	1	1	4	5	:	11	-6	4	1	0	2	3	:	5	3	0	1	2	2	:	6	1	S-N-N-N-N-U
18	Hannover	1	0	5	7	:	10	-3	3	1	0	2	5	:	4	3	0	0	3	2	:	6	0	N-N-N-S-N-N
