Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Dortmund	5	1	0	11	:	2	9	16	2	1	0	5	:	1	7	3	0	0	6	:	1	9	S-S-U-S-S-S
2	B. München	4	1	1	12	:	3	9	13	2	0	1	9	:	3	6	2	1	0	3	:	0	7	S-S-U-N-S-S
3	Hertha	4	1	1	8	:	4	4	13	3	1	0	7	:	2	10	1	0	1	1	:	2	3	S-S-N-S-S-U
4	Hoffenheim	4	0	2	11	:	12	-1	12	3	0	0	6	:	3	9	1	0	2	5	:	9	3	S-S-N-S-N-S
5	Schalke	3	2	1	9	:	7	2	11	2	1	0	6	:	4	7	1	1	1	3	:	3	4	S-N-S-S-U-U
6	M'gladbach	3	1	2	12	:	6	6	10	3	0	0	8	:	0	9	0	1	2	4	:	6	1	N-S-N-S-U-S
7	Wolfsburg	2	2	2	8	:	6	2	8	1	1	1	3	:	4	4	1	1	1	5	:	2	4	U-N-S-S-N-U
8	Mainz	2	2	2	8	:	8	0	8	1	1	0	3	:	1	4	1	1	2	5	:	7	4	U-N-U-S-S-N
9	Bremen	2	2	2	11	:	12	-1	8	1	2	0	7	:	4	5	1	0	2	4	:	8	3	U-N-S-S-U-N
10	Ingolstadt	1	4	1	9	:	8	1	7	1	2	0	6	:	4	5	0	2	1	3	:	4	2	N-U-U-U-U-S
11	Leverkusen	2	1	3	8	:	11	-3	7	1	0	2	2	:	5	3	1	1	1	6	:	6	4	S-S-U-N-N-N
12	Augsburg	1	3	2	10	:	12	-2	6	0	2	1	6	:	8	2	1	1	1	4	:	4	4	N-U-U-N-U-S
13	Frankfurt	1	3	2	2	:	6	-4	6	1	3	0	2	:	1	6	0	0	2	0	:	5	0	S-N-U-N-U-U
14	Hamburg	1	2	3	6	:	8	-2	5	1	1	1	4	:	4	4	0	1	2	2	:	4	1	N-N-S-N-U-U
15	Stuttgart	1	2	3	10	:	13	-3	5	1	0	2	6	:	5	3	0	2	1	4	:	8	2	N-U-S-N-N-U
16	Köln	1	1	4	4	:	7	-3	4	0	0	3	1	:	5	0	1	1	1	3	:	2	4	N-S-N-U-N-N
17	Darmstadt	0	4	2	6	:	10	-4	4	0	1	1	2	:	4	1	0	3	1	4	:	6	3	U-U-U-N-U-N
18	Hannover	1	0	5	3	:	13	-10	3	0	0	3	0	:	7	0	1	0	2	3	:	6	3	N-N-N-N-S-N
