Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Villarreal	5	1	0	8	:	1	7	16	3	1	0	4	:	0	10	2	0	0	4	:	1	6	U-S-S-S-S-S
2	At. Madrid	5	0	1	10	:	2	8	15	2	0	0	3	:	1	6	3	0	1	7	:	1	9	S-S-S-S-N-S
3	Barcelona	4	2	0	19	:	3	16	14	3	1	0	16	:	2	10	1	1	0	3	:	1	4	S-S-S-U-S-U
4	Real Madrid	4	1	1	25	:	7	18	13	4	0	0	23	:	4	12	0	1	1	2	:	3	1	S-S-U-S-S-N
5	Eibar	4	1	1	14	:	5	9	13	3	1	0	10	:	3	10	1	0	1	4	:	2	3	S-S-S-S-N-U
6	FC Sevilla	4	1	1	9	:	3	6	13	4	0	0	8	:	1	12	0	1	1	1	:	2	1	S-S-N-S-U-S
7	Malaga	4	1	1	8	:	4	4	13	2	0	0	3	:	0	6	2	1	1	5	:	4	7	N-U-S-S-S-S
8	Getafe	3	3	0	9	:	5	4	12	2	2	0	5	:	2	8	1	1	0	4	:	3	4	S-S-S-U-U-U
9	Celta Vigo	3	0	3	7	:	8	-1	9	2	0	2	5	:	6	6	1	0	1	2	:	2	3	S-N-N-N-S-S
10	Las Palmas	2	2	2	8	:	8	0	8	2	1	1	6	:	5	7	0	1	1	2	:	3	1	N-U-U-S-N-S
11	At. Bilbao	2	1	3	6	:	12	-6	7	1	1	0	4	:	2	4	1	0	3	2	:	10	3	N-N-U-S-S-N
12	Real Sociedad	1	3	2	7	:	9	-2	6	1	1	1	3	:	3	4	0	2	1	4	:	6	2	U-S-U-N-N-U
13	Deportivo	1	3	2	6	:	10	-4	6	1	0	1	3	:	2	3	0	3	1	3	:	8	3	U-N-N-U-S-U
14	Granada	2	0	4	6	:	17	-11	6	1	0	1	2	:	3	3	1	0	3	4	:	14	3	N-N-S-N-N-S
15	Valencia	0	4	2	7	:	10	-3	4	0	3	0	6	:	6	3	0	1	2	1	:	4	1	U-N-U-N-U-U
16	Espanyol	1	1	4	3	:	8	-5	4	1	1	0	1	:	0	4	0	0	4	2	:	8	0	N-N-U-N-S-N
17	Levante	1	0	5	6	:	11	-5	3	1	0	2	3	:	4	3	0	0	3	3	:	7	0	N-S-N-N-N-N
18	Real Betis	0	2	4	0	:	10	-10	2	0	1	1	0	:	4	1	0	1	3	0	:	6	1	U-N-N-N-U-N
19	Vallecano	0	2	4	8	:	20	-12	2	0	1	2	3	:	6	1	0	1	2	5	:	14	1	U-N-U-N-N-N
20	Gijon	0	0	6	3	:	16	-13	0	0	0	2	2	:	5	0	0	0	4	1	:	11	0	N-N-N-N-N-N
