Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	5	1	0	17	:	2	15	16	3	0	0	10	:	1	9	2	1	0	7	:	1	7	U-S-S-S-S-S
2	At. Madrid	5	1	0	8	:	2	6	16	3	0	0	4	:	1	9	2	1	0	4	:	1	7	S-S-S-S-U-S
3	At. Bilbao	4	1	1	11	:	4	7	13	2	1	0	5	:	1	7	2	0	1	6	:	3	6	U-S-N-S-S-S
4	Real Madrid	4	0	2	14	:	10	4	12	2	0	1	7	:	6	6	2	0	1	7	:	4	6	S-S-N-N-S-S
5	FC Sevilla	3	1	2	11	:	7	4	10	3	0	0	9	:	2	9	0	1	2	2	:	5	1	U-S-N-S-N-S
6	Deportivo	2	3	1	7	:	5	2	9	1	2	0	4	:	2	5	1	1	1	3	:	3	4	U-S-S-U-U-N
7	Real Sociedad	3	0	3	10	:	10	0	9	2	0	1	6	:	4	6	1	0	2	4	:	6	3	S-N-S-N-N-S
8	Valencia	2	2	2	11	:	6	5	8	1	2	0	5	:	2	5	1	0	2	6	:	4	3	U-N-U-S-S-N
9	Real Betis	2	2	2	5	:	6	-1	8	0	1	2	2	:	5	1	2	1	0	3	:	1	7	U-S-N-S-N-U
10	Villarreal	2	2	2	5	:	8	-3	8	2	1	0	5	:	3	7	0	1	2	0	:	5	1	S-N-U-N-S-U
11	Vallecano	2	1	3	7	:	8	-1	7	2	0	1	5	:	4	6	0	1	2	2	:	4	1	N-N-U-S-N-S
12	Eibar	2	1	3	7	:	9	-2	7	2	0	1	4	:	3	6	0	1	2	3	:	6	1	N-N-U-S-S-N
13	Celta Vigo	2	1	3	8	:	14	-6	7	1	0	2	4	:	9	3	1	1	1	4	:	5	4	U-S-N-N-S-N
14	Granada	1	3	2	7	:	8	-1	6	1	1	1	3	:	3	4	0	2	1	4	:	5	2	N-U-S-N-U-U
15	Gijon	2	0	4	5	:	10	-5	6	2	0	1	4	:	4	6	0	0	3	1	:	6	0	S-N-N-N-S-N
16	Malaga	1	2	3	4	:	6	-2	5	1	1	1	4	:	3	4	0	1	2	0	:	3	1	U-U-N-N-N-S
17	Espanyol	1	2	3	5	:	8	-3	5	1	2	0	4	:	2	5	0	0	3	1	:	6	0	U-N-S-N-U-N
18	Las Palmas	1	2	3	5	:	9	-4	5	1	1	1	2	:	2	4	0	1	2	3	:	7	1	N-N-U-S-N-U
19	Levante	1	2	3	5	:	10	-5	5	0	1	2	1	:	6	1	1	1	1	4	:	4	4	U-N-S-U-N-N
20	Getafe	1	1	4	5	:	15	-10	4	1	1	1	3	:	3	4	0	0	3	2	:	12	0	N-S-U-N-N-N
