Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	5	1	0	19	:	2	17	16	3	0	0	14	:	0	9	2	1	0	5	:	2	7	S-S-S-S-U-S
2	Real Madrid	4	2	0	26	:	7	19	14	4	0	0	23	:	4	12	0	2	0	3	:	3	2	U-S-S-U-S-S
3	Villarreal	4	2	0	9	:	3	6	14	2	1	0	3	:	0	7	2	1	0	6	:	3	7	U-U-S-S-S-S
4	At. Madrid	4	1	1	8	:	1	7	13	1	1	0	1	:	0	4	3	0	1	7	:	1	9	U-S-S-S-S-N
5	Eibar	4	0	2	15	:	9	6	12	3	0	0	9	:	2	9	1	0	2	6	:	7	3	N-S-S-S-S-N
6	FC Sevilla	3	2	1	7	:	3	4	11	3	0	0	6	:	1	9	0	2	1	1	:	2	2	U-S-S-N-S-U
7	Getafe	3	2	1	10	:	7	3	11	2	1	0	4	:	1	7	1	1	1	6	:	6	4	N-S-S-S-U-U
8	Malaga	3	1	2	7	:	5	2	10	2	0	1	4	:	2	6	1	1	1	3	:	3	4	N-N-U-S-S-S
9	At. Bilbao	3	1	2	10	:	12	-2	10	2	1	0	9	:	4	7	1	0	2	1	:	8	3	S-N-N-U-S-S
10	Levante	2	0	4	8	:	11	-3	6	2	0	1	5	:	4	6	0	0	3	3	:	7	0	S-N-S-N-N-N
11	Deportivo	1	3	2	5	:	9	-4	6	1	1	1	4	:	3	4	0	2	1	1	:	6	2	U-U-N-N-U-S
12	Celta Vigo	2	0	4	6	:	11	-5	6	1	0	2	4	:	6	3	1	0	2	2	:	5	3	N-S-N-N-N-S
13	Granada	2	0	4	7	:	18	-11	6	2	0	1	5	:	5	6	0	0	3	2	:	13	0	S-N-N-S-N-N
14	Las Palmas	1	2	3	9	:	11	-2	5	1	1	1	5	:	5	4	0	1	2	4	:	6	1	N-N-U-U-S-N
15	Espanyol	1	2	3	5	:	9	-4	5	1	2	0	3	:	2	5	0	0	3	2	:	7	0	U-N-N-U-N-S
16	Real Sociedad	1	2	3	7	:	13	-6	5	1	1	1	3	:	3	4	0	1	2	4	:	10	1	N-U-S-U-N-N
17	Vallecano	1	2	3	10	:	18	-8	5	1	1	1	5	:	4	4	0	1	2	5	:	14	1	S-U-N-U-N-N
18	Valencia	0	4	2	7	:	10	-3	4	0	3	0	6	:	6	3	0	1	2	1	:	4	1	U-U-N-U-N-U
19	Gijon	1	0	5	8	:	15	-7	3	1	0	2	7	:	6	3	0	0	3	1	:	9	0	N-S-N-N-N-N
20	Real Betis	0	3	3	1	:	10	-9	3	0	2	1	1	:	5	2	0	1	2	0	:	5	1	U-U-N-N-N-U
