Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Real Madrid	6	0	0	24	:	4	20	18	3	0	0	15	:	1	9	3	0	0	9	:	3	9	S-S-S-S-S-S
2	At. Madrid	5	0	1	18	:	5	13	15	3	0	0	11	:	1	9	2	0	1	7	:	4	6	S-S-S-N-S-S
3	At. Bilbao	4	1	1	9	:	4	5	13	2	1	0	5	:	2	7	2	0	1	4	:	2	6	S-S-U-N-S-S
4	Las Palmas	4	1	1	9	:	5	4	13	1	1	1	4	:	4	4	3	0	0	5	:	1	9	U-S-S-S-N-S
5	Celta Vigo	3	2	1	7	:	9	-2	11	1	2	0	3	:	2	5	2	0	1	4	:	7	6	U-S-U-S-S-N
6	Malaga	2	3	1	6	:	5	1	9	1	1	1	2	:	2	4	1	2	0	4	:	3	5	N-U-U-S-S-U
7	Vallecano	2	2	2	8	:	7	1	8	2	1	0	5	:	2	7	0	1	2	3	:	5	1	S-N-S-U-U-N
8	Levante	2	2	2	5	:	5	0	8	2	1	0	3	:	1	7	0	1	2	2	:	4	1	S-N-U-N-S-U
9	Espanyol	2	2	2	8	:	9	-1	8	2	0	1	5	:	5	6	0	2	1	3	:	4	2	N-N-U-S-U-S
10	Barcelona	2	1	3	14	:	7	7	7	1	0	2	8	:	4	3	1	1	1	6	:	3	4	N-N-N-U-S-S
11	Villarreal	2	1	3	9	:	10	-1	7	1	1	1	4	:	3	4	1	0	2	5	:	7	3	N-S-S-U-N-N
12	Real Sociedad	2	1	3	5	:	6	-1	7	1	1	1	2	:	2	4	1	0	2	3	:	4	3	N-S-S-N-N-U
13	Real Betis	2	1	3	6	:	10	-4	7	2	0	1	3	:	1	6	0	1	2	3	:	9	1	U-S-N-N-N-S
14	Deportivo	1	3	2	8	:	12	-4	6	1	1	1	6	:	7	4	0	2	1	2	:	5	2	U-N-U-S-N-U
15	Valencia	2	0	4	6	:	10	-4	6	1	0	2	3	:	6	3	1	0	2	3	:	4	3	S-S-N-N-N-N
16	Gijon	1	2	3	3	:	6	-3	5	1	0	2	2	:	4	3	0	2	1	1	:	2	2	U-N-U-S-N-N
17	FC Sevilla	1	2	3	8	:	12	-4	5	1	1	1	6	:	5	4	0	1	2	2	:	7	1	U-N-N-N-S-U
18	Eibar	1	2	3	5	:	13	-8	5	1	0	2	3	:	7	3	0	2	1	2	:	6	2	S-N-N-U-U-N
19	Granada	0	4	2	4	:	9	-5	4	0	3	0	3	:	3	3	0	1	2	1	:	6	1	N-U-U-U-U-N
20	Getafe	0	2	4	3	:	17	-14	2	0	2	1	3	:	7	2	0	0	3	0	:	10	0	N-N-N-U-N-U
