Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Villarreal	5	1	0	12	:	4	8	16	3	0	0	7	:	2	9	2	1	0	5	:	2	7	S-S-S-S-S-U
2	Barcelona	5	0	1	11	:	7	4	15	3	0	0	7	:	2	9	2	0	1	4	:	5	6	S-N-S-S-S-S
3	Real Madrid	4	2	0	14	:	1	13	14	2	1	0	6	:	0	7	2	1	0	8	:	1	7	U-S-S-S-S-U
4	Celta Vigo	4	2	0	15	:	7	8	14	2	1	0	10	:	4	7	2	1	0	5	:	3	7	U-S-S-U-S-S
5	At. Madrid	4	0	2	9	:	3	6	12	2	0	1	4	:	2	6	2	0	1	5	:	1	6	N-S-S-N-S-S
6	Deportivo	3	2	1	11	:	6	5	11	1	1	1	5	:	3	4	2	1	0	6	:	3	7	S-S-N-S-U-U
7	Eibar	2	3	1	8	:	6	2	9	1	1	1	3	:	3	4	1	2	0	5	:	3	5	U-U-N-U-S-S
8	Valencia	2	3	1	3	:	2	1	9	1	2	0	2	:	1	5	1	1	1	1	:	1	4	S-N-U-S-U-U
9	Espanyol	3	0	3	6	:	14	-8	9	2	0	1	2	:	6	6	1	0	2	4	:	8	3	N-S-S-N-N-S
10	Real Betis	2	2	2	5	:	9	-4	8	1	1	1	3	:	3	4	1	1	1	2	:	6	4	S-N-U-S-N-U
11	Vallecano	2	1	3	6	:	10	-4	7	1	1	1	3	:	4	4	1	0	2	3	:	6	3	N-S-S-N-N-U
12	Real Sociedad	1	3	2	5	:	4	1	6	0	2	1	2	:	3	2	1	1	1	3	:	1	4	U-S-N-N-U-U
13	Getafe	2	0	4	6	:	8	-2	6	2	0	1	5	:	2	6	0	0	3	1	:	6	0	S-N-S-N-N-N
14	Las Palmas	1	2	3	6	:	7	-1	5	1	1	1	2	:	1	4	0	1	2	4	:	6	1	N-S-N-U-U-N
15	Gijon	1	2	3	5	:	7	-2	5	0	1	2	1	:	3	1	1	1	1	4	:	4	4	N-N-S-N-U-U
16	FC Sevilla	1	2	3	5	:	10	-5	5	1	0	2	4	:	7	3	0	2	1	1	:	3	2	S-N-N-U-N-U
17	At. Bilbao	1	1	4	5	:	9	-4	4	1	0	2	4	:	4	3	0	1	2	1	:	5	1	U-N-N-S-N-N
18	Malaga	0	3	3	0	:	3	-3	3	0	2	1	0	:	1	2	0	1	2	0	:	2	1	U-N-N-U-N-U
19	Levante	0	3	3	5	:	12	-7	3	0	2	1	4	:	5	2	0	1	2	1	:	7	1	N-U-N-U-U-N
20	Granada	1	0	5	4	:	12	-8	3	0	0	3	2	:	9	0	1	0	2	2	:	3	3	N-N-N-N-S-N
