Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Real Madrid	6	0	0	20	:	3	17	18	3	0	0	11	:	0	9	3	0	0	9	:	3	9	S-S-S-S-S-S
2	At. Madrid	5	0	1	16	:	4	12	15	3	0	0	11	:	1	9	2	0	1	5	:	3	6	S-S-S-S-N-S
3	Celta Vigo	3	3	0	7	:	3	4	12	1	2	0	3	:	2	5	2	1	0	4	:	1	7	U-U-S-U-S-S
4	Las Palmas	3	1	2	8	:	6	2	10	1	1	1	4	:	4	4	2	0	1	4	:	2	6	N-U-S-S-S-N
5	At. Bilbao	3	1	2	7	:	5	2	10	2	1	1	5	:	3	7	1	0	1	2	:	2	3	N-S-S-U-N-S
6	Valencia	3	0	3	9	:	7	2	9	2	0	1	6	:	3	6	1	0	2	3	:	4	3	S-S-S-N-N-N
7	Vallecano	2	3	1	8	:	6	2	9	2	1	0	5	:	2	7	0	2	1	3	:	4	2	U-S-N-S-U-U
8	Malaga	2	3	1	4	:	3	1	9	1	2	1	3	:	3	5	1	1	0	1	:	0	4	U-N-U-U-S-S
9	Gijon	2	2	2	5	:	5	0	8	2	0	1	4	:	3	6	0	2	1	1	:	2	2	S-U-N-U-S-N
10	Barcelona	2	1	3	18	:	7	11	7	1	0	2	8	:	4	3	1	1	1	10	:	3	4	S-N-N-N-U-S
11	Granada	1	4	1	9	:	8	1	7	1	3	0	8	:	4	6	0	1	1	1	:	4	1	S-N-U-U-U-U
12	Villarreal	2	1	3	9	:	12	-3	7	1	1	0	4	:	2	4	1	0	3	5	:	10	3	N-N-S-S-U-N
13	Levante	2	1	3	5	:	9	-4	7	2	1	0	3	:	1	7	0	0	3	2	:	8	0	N-S-N-U-N-S
14	Real Betis	2	1	3	5	:	10	-5	7	2	0	1	2	:	1	6	0	1	2	3	:	9	1	S-U-S-N-N-N
15	Espanyol	1	3	2	7	:	9	-2	6	1	1	1	4	:	5	4	0	2	1	3	:	4	2	U-N-N-U-S-U
16	Real Sociedad	2	0	4	5	:	7	-2	6	1	0	2	2	:	3	3	1	0	2	3	:	4	3	N-N-S-S-N-N
17	Eibar	1	2	3	5	:	13	-8	5	1	0	1	3	:	3	3	0	2	2	2	:	10	2	N-S-N-N-U-U
18	Deportivo	1	2	3	5	:	17	-12	5	1	0	2	3	:	12	3	0	2	1	2	:	5	2	N-U-N-U-S-N
19	FC Sevilla	1	1	4	8	:	13	-5	4	1	1	1	6	:	5	4	0	0	3	2	:	8	0	N-U-N-N-N-S
20	Getafe	1	1	4	4	:	17	-13	4	0	1	1	2	:	6	1	1	0	3	2	:	11	3	S-N-N-N-U-N
