Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	4	0	0	8	:	2	6	12	2	0	0	5	:	1	6	2	0	0	3	:	1	6	S-S-S-S
2	Real Madrid	3	1	0	12	:	0	12	10	2	0	0	6	:	0	6	1	1	0	6	:	0	4	S-S-S-U
3	Villarreal	3	1	0	10	:	4	6	10	2	0	0	6	:	2	6	1	1	0	4	:	2	4	S-S-S-U
4	Celta Vigo	3	1	0	10	:	5	5	10	1	1	0	6	:	3	4	2	0	0	4	:	2	6	S-U-S-S
5	At. Madrid	3	0	1	7	:	2	5	9	1	0	1	2	:	2	3	2	0	0	5	:	0	6	S-N-S-S
6	Eibar	2	1	1	5	:	3	2	7	1	0	1	2	:	2	3	1	1	0	3	:	1	4	N-U-S-S
7	Valencia	1	3	0	2	:	1	1	6	0	2	0	1	:	1	2	1	1	0	1	:	0	4	U-S-U-U
8	Espanyol	2	0	2	5	:	11	-6	6	1	0	1	1	:	6	3	1	0	1	4	:	5	3	S-N-N-S
9	Deportivo	1	2	1	6	:	5	1	5	0	1	1	2	:	3	1	1	1	0	4	:	2	4	N-S-U-U
10	Gijon	1	2	1	3	:	3	0	5	0	1	1	0	:	1	1	1	1	0	3	:	2	4	S-N-U-U
11	Real Betis	1	2	1	2	:	6	-4	5	1	1	0	2	:	1	4	0	1	1	0	:	5	1	U-S-N-U
12	Vallecano	1	1	2	2	:	6	-4	4	0	1	1	1	:	3	1	1	0	1	1	:	3	3	S-N-N-U
13	At. Bilbao	1	0	3	4	:	7	-3	3	1	0	1	3	:	2	3	0	0	2	1	:	5	0	N-S-N-N
14	Getafe	1	0	3	3	:	6	-3	3	1	0	1	2	:	2	3	0	0	2	1	:	4	0	S-N-N-N
15	Granada	1	0	3	4	:	8	-4	3	0	0	2	2	:	6	0	1	0	1	2	:	2	3	N-N-S-N
16	Las Palmas	0	2	2	3	:	5	-2	2	0	1	1	0	:	1	1	0	1	1	3	:	4	1	N-U-U-N
17	Real Sociedad	0	2	2	2	:	4	-2	2	0	1	1	2	:	3	1	0	1	1	0	:	1	1	N-N-U-U
18	Malaga	0	2	2	0	:	2	-2	2	0	2	0	0	:	0	2	0	0	2	0	:	2	0	N-U-N-U
19	Levante	0	2	2	3	:	7	-4	2	0	1	1	2	:	3	1	0	1	1	1	:	4	1	N-U-U-N
20	FC Sevilla	0	2	2	2	:	6	-4	2	0	0	2	1	:	5	0	0	2	0	1	:	1	2	N-U-N-U
