Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	At. Madrid	5	0	1	8	:	2	6	15	2	0	0	3	:	1	6	3	0	1	5	:	1	9	S-N-S-S-S-S
2	Barcelona	4	2	0	18	:	4	14	14	2	1	0	10	:	2	7	2	1	0	8	:	2	7	S-S-U-U-S-S
3	Villarreal	4	1	1	7	:	4	3	13	3	1	0	5	:	2	10	1	0	1	2	:	2	3	S-S-S-S-N-U
4	Real Madrid	4	0	2	19	:	9	10	12	3	0	1	17	:	8	9	1	0	1	2	:	1	3	S-S-N-S-S-N
5	Deportivo	3	3	0	9	:	3	6	12	2	1	0	5	:	1	7	1	2	0	4	:	2	5	U-S-U-U-S-S
6	FC Sevilla	3	2	1	6	:	3	3	11	3	0	0	5	:	0	9	0	2	1	1	:	3	2	S-U-S-U-S-N
7	Malaga	3	2	1	6	:	5	1	11	1	1	0	3	:	2	4	2	1	1	3	:	3	7	S-S-S-U-U-N
8	At. Bilbao	3	1	2	7	:	4	3	10	1	1	0	2	:	0	4	2	0	2	5	:	4	6	S-S-N-U-S-N
9	Celta Vigo	3	1	2	6	:	5	1	10	2	0	1	3	:	2	6	1	1	1	3	:	3	4	N-S-S-U-S-N
10	Getafe	1	4	1	7	:	8	-1	7	1	3	0	4	:	2	6	0	1	1	3	:	6	1	U-U-U-N-S-U
11	Las Palmas	2	1	3	7	:	8	-1	7	2	0	1	5	:	3	6	0	1	2	2	:	5	1	S-N-S-N-N-U
12	Espanyol	2	1	3	4	:	5	-1	7	2	1	0	4	:	1	7	0	0	3	0	:	4	0	N-S-N-U-N-S
13	Granada	2	1	3	7	:	11	-4	7	1	0	2	2	:	4	3	1	1	1	5	:	7	4	N-N-S-N-U-S
14	Real Sociedad	2	1	3	6	:	11	-5	7	2	0	1	4	:	3	6	0	1	2	2	:	8	1	N-N-U-S-N-S
15	Eibar	1	2	3	5	:	8	-3	5	1	1	1	3	:	3	4	0	1	2	2	:	5	1	S-N-U-N-N-U
16	Real Betis	1	2	3	2	:	7	-5	5	0	2	1	1	:	2	2	1	0	2	1	:	5	3	N-U-N-U-S-N
17	Levante	1	1	4	5	:	7	-2	4	0	0	3	1	:	4	0	1	1	1	4	:	3	4	N-N-N-U-N-S
18	Valencia	0	4	2	5	:	7	-2	4	0	3	0	4	:	4	3	0	1	2	1	:	3	1	N-U-U-U-N-U
19	Gijon	1	0	5	5	:	13	-8	3	1	0	2	4	:	7	3	0	0	3	1	:	6	0	N-N-N-S-N-N
20	Vallecano	0	1	5	5	:	20	-15	1	0	0	3	1	:	7	0	0	1	2	4	:	13	1	N-N-N-N-N-U
